date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.8294,
2026-03-02,76.4778,78.07
2026-03-03,78.1557,81.96
2026-03-04,79.8633,82.58
2026-03-05,81.6012,84.31
2026-03-06,83.3696,93.32
2026-03-07,85.1689,
2026-03-08,86.9996,
2026-03-09,88.8621,89.79
2026-03-10,90.7567,91.4
2026-03-11,92.2895,90.93
2026-03-12,93.6521,101.75
2026-03-13,94.8687,103.89
2026-03-14,95.9606,
2026-03-15,96.9464,
2026-03-16,97.8422,101.02
2026-03-17,98.6424,103.5
2026-03-18,99.3586,109.65
2026-03-19,100.0006,103.07
2026-03-20,100.5766,104.41
2026-03-21,101.0939,
2026-03-22,101.5585,
2026-03-23,101.9754,96.07
2026-03-24,102.3491,95.96
2026-03-25,102.6831,98.06
2026-03-26,102.8994,100.1
2026-03-27,103.0816,106.29
2026-03-28,103.2320,
2026-03-29,103.3730,
2026-03-30,103.5060,108.89
2026-03-31,103.6325,103.53
2026-04-01,103.7537,100.24
2026-04-02,103.8704,109.24
2026-04-03,103.9835,
2026-04-04,104.0938,
2026-04-05,104.2019,
2026-04-06,104.3081,109.7
2026-04-07,104.4131,103.42
2026-04-08,104.5172,96.7
2026-04-09,104.6206,96.41
2026-04-10,104.7235,94.26
2026-04-11,104.8262,
2026-04-12,104.9289,
2026-04-13,105.0315,98.0
2026-04-14,105.1343,95.34
2026-04-15,105.2372,94.87
2026-04-16,105.3403,98.21
2026-04-17,105.4437,92.42
2026-04-18,105.5474,
2026-04-19,105.6515,
2026-04-20,105.7560,93.8
2026-04-21,105.8608,99.06
2026-04-22,105.9661,101.55
2026-04-23,106.0718,106.01
2026-04-24,106.1780,105.88
2026-04-25,106.2846,
2026-04-26,106.3918,
2026-04-27,106.4994,101.97
2026-04-28,106.6075,104.48
2026-04-29,106.7161,112.49
2026-04-30,106.5301,110.86
2026-05-01,106.3461,109.2
2026-05-02,106.1638,
2026-05-03,105.9391,
2026-05-04,105.6757,114.06
2026-05-05,105.3772,110.31
2026-05-06,105.0469,101.96
2026-05-07,104.6878,103.37
2026-05-08,104.3029,100.25
2026-05-09,103.8946,
2026-05-10,103.4654,
2026-05-11,103.0177,104.58
2026-05-12,102.5533,107.69
2026-05-13,102.0743,105.72
2026-05-14,101.5824,106.59
2026-05-15,101.0792,109.47
2026-05-16,100.5662,
2026-05-17,100.0446,
2026-05-18,99.5159,109.69
2026-05-19,98.9810,110.92
2026-05-20,98.4411,105.16
2026-05-21,97.8971,104.92
2026-05-22,97.3498,104.25
2026-05-23,96.8001,
2026-05-24,96.2487,
2026-05-25,95.6961,93.64
2026-05-26,95.1431,96.28
2026-05-27,94.5902,92.88
2026-05-28,94.0378,92.4
2026-05-29,93.4864,91.89
