date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.8232,
2026-03-02,76.4653,78.07
2026-03-03,78.1367,81.96
2026-03-04,79.8379,82.58
2026-03-05,81.5691,84.31
2026-03-06,83.3309,93.32
2026-03-07,85.1235,
2026-03-08,86.9473,
2026-03-09,88.8029,89.79
2026-03-10,90.6905,91.4
2026-03-11,92.2569,90.93
2026-03-12,93.6568,101.75
2026-03-13,94.9137,103.89
2026-03-14,96.0487,
2026-03-15,97.0799,
2026-03-16,98.0230,101.02
2026-03-17,98.8724,103.5
2026-03-18,99.6395,109.65
2026-03-19,100.3337,103.07
2026-03-20,100.9633,104.41
2026-03-21,101.5352,
2026-03-22,102.0552,
2026-03-23,102.5285,96.07
2026-03-24,102.9592,95.96
2026-03-25,103.3509,98.06
2026-03-26,103.6259,100.1
2026-03-27,103.8673,106.29
2026-03-28,104.0772,
2026-03-29,104.2775,
2026-03-30,104.4693,108.89
2026-03-31,104.6520,103.53
2026-04-01,104.8219,100.24
2026-04-02,104.9692,109.24
2026-04-03,105.0741,
2026-04-04,105.1031,
2026-04-05,105.0103,
2026-04-06,104.7467,109.7
2026-04-07,104.2791,103.42
2026-04-08,103.6121,96.7
2026-04-09,102.8010,96.41
2026-04-10,101.9436,94.26
2026-04-11,101.1517,
2026-04-12,100.5161,
2026-04-13,100.0822,98.0
2026-04-14,99.8479,95.34
2026-04-15,99.7769,94.87
2026-04-16,99.8206,98.21
2026-04-17,99.9341,92.42
2026-04-18,100.0851,
2026-04-19,100.2538,
2026-04-20,100.4301,93.8
2026-04-21,100.6094,99.06
2026-04-22,100.7900,101.55
2026-04-23,100.9712,106.01
2026-04-24,101.1529,105.88
2026-04-25,101.3350,
2026-04-26,101.5175,
2026-04-27,101.7004,101.97
2026-04-28,101.8838,104.48
2026-04-29,102.0676,112.49
2026-04-30,101.9732,110.86
2026-05-01,101.8801,109.2
2026-05-02,101.7882,
2026-05-03,101.6556,
2026-05-04,101.4857,114.06
2026-05-05,101.2819,110.31
2026-05-06,101.0471,101.96
2026-05-07,100.7843,103.37
2026-05-08,100.4960,100.25
2026-05-09,100.1847,
2026-05-10,99.8527,
2026-05-11,99.5021,104.58
2026-05-12,99.1348,107.69
2026-05-13,98.7525,105.72
2026-05-14,98.3570,106.59
2026-05-15,97.9497,109.47
2026-05-16,97.5320,
2026-05-17,97.1052,
2026-05-18,96.6705,109.69
2026-05-19,96.2289,110.92
2026-05-20,95.7815,105.16
2026-05-21,95.3292,104.92
2026-05-22,94.8727,104.25
2026-05-23,94.4128,
2026-05-24,93.9503,
2026-05-25,93.4857,93.64
2026-05-26,93.0197,96.28
2026-05-27,92.5527,92.88
2026-05-28,92.0852,92.4
2026-05-29,91.6177,91.89
