beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,m_amp,m_mu,m_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.078,10,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2511.0817153150565,105.10310503887716,101.73770281119786,93.59303450806225,4.446526425685726,0.28041859152287457,300.1470036204252,5970.366781082475
0.078,10,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2643.102891609655,104.76494840398217,101.27383068669829,93.20103281182844,4.446526425685726,1.4133699214936237,276.23512506397606,6033.410052815318
0.078,10,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2598.016645255271,105.02228765390167,101.50476138947838,93.22117878176209,4.446377438062865,1.4505433961767842,288.34234889970367,6037.111721017882
0.078,11,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2432.750437460384,105.46952581043354,102.05636787470831,93.8622457417368,4.446526425685726,0.007005873012147303,334.78390110174644,6083.666135260823
0.078,10,500.0,400.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2842.618511159779,104.4794818512918,100.75607184576238,92.45546301147907,4.406830318235411,6.3463699929239485,233.5112200204757,6089.273645467045
0.078,11,500.0,400.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2736.9932458745693,104.84378046169589,101.0716901923189,92.72141109706585,4.406830318235411,4.291525808067825,262.9613359796771,6108.6834846451
0.078,11,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2555.1139986805247,105.13301095480301,101.59103084985097,93.46910169231593,4.446526425685726,0.5444137598045582,309.11848478490685,6113.534487564105
0.078,10,500.0,375.0,0.003,62,0.07,0.08,0.008,40.0,4.0,2737.349161812903,104.69300940722663,101.04193401500827,92.83072684491925,4.446377438062865,3.465313982944582,265.0124116148143,6122.66145189728
0.079,10,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2418.415376179822,105.5449924341943,102.17129873999,93.8617336868972,4.504031799288888,0.012848106963174712,344.26198997098237,6126.794979910095
0.078,11,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2513.7727451479227,105.38843006303051,101.82269585784563,93.48931481666696,4.446377438062865,0.5673305766137726,322.120029405248,6129.809730029049
0.079,10,500.0,400.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2720.6518523604063,104.91134864267612,101.17446547506816,92.708722568689,4.463816867475545,4.523403777371526,270.2794357835531,6135.880965817101
0.079,10,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2538.2907543415818,105.20442231106911,101.70593308988518,93.46943760705412,4.504031799288888,0.5933970093499079,318.1700162446216,6150.486036849874
0.078,10,525.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2837.2826892351604,104.617780110468,100.79459293516109,92.3971678468214,4.446526425685726,6.9883362399654985,242.44998761897298,6150.930406013931
0.079,10,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2499.224649213305,105.46284409547496,101.9346061940862,93.48453463024184,4.5038808598588,0.6322091295533341,331.2150032775902,6170.538273502901
0.079,11,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,4.0,2976.011356958504,105.51498237072124,100.15652934898674,92.16229471001441,4.504031799288888,8.82188067642041,220.90344349847499,6175.795275792841
0.078,10,500.0,375.0,0.0035,62,0.07,0.1,0.01,40.0,3.0,2623.613310099914,105.10310503887716,101.72147006202958,92.85887666789351,4.446526425685726,3.712078355137421,300.1470036204252,6177.6316985720605
0.078,11,525.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2729.801561923388,105.00080463100466,101.12612079848807,92.67623627815468,4.446526425685726,4.725976572797214,274.22771828390137,6181.050884471333
0.078,11,500.0,375.0,0.003,62,0.07,0.08,0.008,40.0,4.0,2643.517233942995,105.06082284393062,101.35840688551556,93.09772506437079,4.446377438062865,1.9941700376791052,297.04221921224024,6182.420605416257
0.08,10,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,4.0,2953.5357830688986,105.58131145434083,100.26658217545739,92.16119537416877,4.561549761925887,9.027431756024114,227.692165587238,6189.639029910174
0.078,11,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,4.0,3116.6270631784832,105.06997817703761,99.72592985229653,91.89194592789995,4.446526425685726,11.511666603083508,188.10360110699798,6196.933123839114
0.079,10,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,4.0,3089.298749335045,105.14135133793552,99.84073034865692,91.89567871353135,4.504031799288888,11.689380254137625,194.5293873002649,6200.4089588211955
0.079,11,500.0,400.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2627.9892931842437,105.28132341258319,101.49457375382663,92.97778259283139,4.463816867475545,2.8028465147406765,303.07423764151326,6200.651157306495
0.078,10,500.0,375.0,0.0035,62,0.08,0.08,0.01,40.0,3.0,2624.030877368788,105.10310503887716,101.72739865465027,92.70654511707475,4.446526425685726,5.578309564167834,300.1470036204252,6207.212136849305
0.079,10,525.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2718.958873204494,105.05170610535046,101.21327284513802,92.6492141636234,4.504031799288888,5.078751082322744,280.24876866824184,6209.051393554186
0.08,11,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,4.0,2853.542460274367,105.96075920441267,100.58685795971596,92.43092810179985,4.561549761925887,6.506020986487865,257.41783518364093,6210.9612416324835
0.079,10,500.0,375.0,0.003,62,0.07,0.08,0.008,40.0,4.0,2626.5702155882946,105.13129746452562,101.4703010687305,93.09380738463152,4.5038808598588,2.109647512703404,305.7187824952574,6217.230767533411
0.078,11,500.0,400.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2843.7026142723976,104.7577810614394,100.82484292477623,92.32848779236797,4.406671428425701,7.7586755728298,251.4521926071992,6228.851799373348
0.078,11,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2888.567374961328,104.54087468316658,100.61079630578716,92.33302742246887,4.406830318235411,7.427101334806917,240.92688501705337,6230.101011092338
0.078,10,500.0,400.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2955.444492018143,104.3937776879221,100.50999643745828,92.06367258826587,4.406671428425701,10.439480557395797,222.89942258181452,6230.769702122078
0.078,10,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,3.0,2483.2673584097597,104.53077359373802,102.16633886295747,93.64329109729667,4.406830318235411,0.27081157827690927,337.7988834025315,6233.765484194243
0.08,10,500.0,400.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2615.7077922611893,105.34384347612743,101.59250454327648,92.9602356699035,4.520815755717722,3.0198017269126063,310.58365556541247,6235.4049255075415
0.078,10,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,3003.5720366386795,104.17483188374698,100.29662900653612,92.06820790436032,4.406830318235411,10.055244982433262,213.19518953972351,6242.916679744445
0.079,10,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2870.0836317619614,104.60480447525438,100.71359331207458,92.32122781337375,4.463816867475545,7.721588379817211,247.8670412252362,6252.176971095568
0.079,10,500.0,400.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2827.6300631696354,104.82423908689893,100.9244547951416,92.31135529598136,4.463655896520535,8.114649295390546,258.41449581970306,6255.169264914479
0.078,10,500.0,375.0,0.0035,60,0.07,0.08,0.01,40.0,3.0,2683.1930215947045,105.10310503887716,101.61123044198072,92.78481482637193,4.446526425685726,3.8191959396048683,300.1470036204252,6258.119667941697
0.078,10,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,4.0,3242.7811612940322,104.70213719483847,99.41460112605897,91.6284596305402,4.446526425685726,14.719479333393572,164.9895501775189,6266.164899997686
0.078,10,500.0,375.0,0.0035,62,0.07,0.08,0.006,40.0,5.0,2547.3437967428267,104.4968485620846,101.74716677893427,93.60093172263763,4.44652642568566,0.2665478859093582,327.35559655926187,6267.358373942298
0.078,10,500.0,375.0,0.0035,62,0.07,0.1,0.008,40.0,4.0,2762.579863803611,104.76494840398217,101.25766775711116,92.46980386457487,4.446526425685726,6.662486157007299,276.23512506397606,6267.692408760653
0.078,10,500.0,375.0,0.003,62,0.07,0.1,0.01,40.0,3.0,2716.6032161283874,105.02228765390167,101.4885658719572,92.4897976608742,4.446377438062865,6.744171070606177,288.34234889970367,6270.540016287892
0.078,11,500.0,375.0,0.0035,62,0.07,0.1,0.01,40.0,3.0,2540.4770277266507,105.46952581043354,102.04008717230283,93.1260767931427,4.446526425685726,2.18215405614713,334.78390110174644,6272.247516167818
0.079,11,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2463.980932038584,105.5782783984022,102.02768211480644,93.7406814511554,4.504031799288888,0.09897587627166841,354.5408798702202,6278.409316132929
0.078,10,525.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2942.5690208461283,104.53732334410132,100.56378676049107,92.03003933238836,4.446377438062865,10.959383176880003,232.2321500275791,6282.133371887724
0.079,11,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2767.8452933835993,104.97658455696707,101.03223127171717,92.58914827848622,4.463816867475545,5.419605323898426,278.9044317557623,6284.065287843895
0.079,11,525.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2625.2028481277734,105.44070414500084,101.54951740061487,92.93154479427942,4.504031799288888,3.163761543953515,315.56682980186116,6287.121899740216
0.079,11,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2353.9676354670355,105.91714819597573,102.49453228178606,94.13413116361471,4.504031799288888,0.12261950010114876,382.42650983538795,6288.577208396542
0.078,10,500.0,400.0,0.003,62,0.07,0.08,0.008,40.0,3.0,2571.8066628689835,104.4450295840271,101.91687602334599,93.24649230669914,4.406671428425701,1.5399320297496988,324.11939394959103,6291.165931122669
0.078,11,525.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2829.060193366471,104.92005684268102,100.89455445626449,92.30799311731545,4.446377438062865,8.081954552135713,263.1236106095282,6291.23830459041
0.078,11,525.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2879.9112131591523,104.70319127580724,100.6649636979702,92.28803019523855,4.446526425685726,7.993104060764024,251.5462916105627,6296.168328396705
0.078,11,500.0,375.0,0.0035,62,0.08,0.08,0.01,40.0,3.0,2540.517566569289,105.46952581043354,102.04603327954985,92.97333033212843,4.446526425685726,3.662238416649118,334.78390110174644,6297.607451023345
0.079,11,500.0,400.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2728.6468631607163,105.19391033612182,101.24377093291585,92.5792559179751,4.463655896520535,5.750590703327164,290.27998597042495,6297.915982676694
0.078,10,525.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2997.2536107488663,104.3183121801507,100.33496007379911,92.0101460426694,4.446526425685726,10.856078876132656,221.57906682678012,6299.9194940514635
0.078,10,500.0,375.0,0.0035,62,0.08,0.08,0.008,40.0,4.0,2763.5429940939352,104.76494840398217,101.26357084856208,92.3180765824547,4.446526425685726,9.087230527053936,276.23512506397606,6303.377172766994
0.078,10,500.0,375.0,0.003,62,0.08,0.08,0.01,40.0,3.0,2717.681515996731,105.02228765390167,101.49448087047548,92.33805215988147,4.446377438062865,9.183826296460595,288.34234889970367,6306.415454202657
0.079,11,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2428.6655845225996,105.83471366503633,102.25708986127867,93.75583158996372,4.5038808598588,0.11487539119820994,368.4895267677653,6311.0420621096555
0.078,10,525.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,3.0,2480.767499996503,104.66914112359896,102.20544371812026,93.58428067660677,4.446526425685726,0.4174336012542783,349.0426245288418,6312.048079703594
