t,date,price,actual_close,inventory,L_t,R_t,C_t,B_t,F_t,S_t,D_t,g_t
-1,2026-02-27,73.21,73.21,58000.0,,,,,,,,
0,2026-02-28,73.21,,58000.0,1600.0,0.0,350.0,0.0,0.15,8750.0,11500.0,0.275
1,2026-03-01,75.0219,,57650.0,1600.0,0.0,343.0695,0.0,0.15,8743.0695,11485.9506,0.274288
2,2026-03-02,76.8739,78.07,57306.9305,1600.0,0.0,336.2763,0.0,0.15,8736.2763,11471.9542,0.273568
3,2026-03-03,78.7667,81.96,56970.6542,1600.0,0.0,329.6176,0.0,0.15,8729.6176,11458.0112,0.272839
4,2026-03-04,80.7008,82.58,56641.0366,1600.0,0.0,323.0907,0.0,0.15,8723.0907,11444.1216,0.272103
5,2026-03-05,82.6771,84.31,56317.9459,1600.0,0.0,316.6931,0.0,0.15,8716.6931,11430.2859,0.271359
6,2026-03-06,84.6963,93.32,56001.2528,1600.0,0.0,310.4222,0.0,0.15,8710.4222,11416.5042,0.270608
7,2026-03-07,86.759,,55690.8306,1600.0,450.0,304.2754,0.0,0.15,9154.2754,11402.7768,0.22485
8,2026-03-08,88.5147,,55386.5552,1600.0,450.0,298.2503,0.0,0.15,9148.2503,11391.3601,0.224311
9,2026-03-09,90.3017,89.79,55088.3049,1600.0,450.0,292.3446,0.0,0.15,9142.3446,11379.9819,0.223764
10,2026-03-10,92.1202,91.4,54795.9603,1600.0,450.0,286.5558,0.0,0.15,9136.5558,11368.6425,0.223209
11,2026-03-11,93.9708,90.93,54509.4046,1600.0,450.0,280.8816,0.0,0.135726,9130.8816,11216.369,0.208549
12,2026-03-12,95.7346,101.75,54228.523,1600.0,450.0,275.3198,0.0,0.12281,9125.3198,11078.506,0.195319
13,2026-03-13,97.4175,103.89,53953.2032,1600.0,450.0,269.8681,0.0,0.111123,9119.8681,10953.6462,0.183378
14,2026-03-14,99.0253,,53683.3352,1600.0,450.0,264.5243,0.0,0.100548,9114.5243,10840.5224,0.1726
15,2026-03-15,100.5635,,53418.8109,1600.0,450.0,259.2864,0.0,0.09098,9109.2864,10737.9933,0.162871
16,2026-03-16,102.0376,101.02,53159.5245,1600.0,450.0,254.1522,25.0,0.082322,9129.1522,10645.03,0.151588
17,2026-03-17,103.4297,103.5,52905.3723,1600.0,450.0,249.1196,50.0,0.074488,9149.1196,10560.8225,0.14117
18,2026-03-18,104.7438,109.65,52656.2527,1600.0,450.0,244.1867,75.0,0.067399,9169.1867,10484.5316,0.131534
19,2026-03-19,105.9838,103.07,52412.066,1600.0,450.0,239.3515,100.0,0.060985,9189.3515,10415.4006,0.122605
20,2026-03-20,107.1533,104.41,52172.7145,1600.0,450.0,234.612,125.0,0.055182,9209.612,10352.7468,0.114313
21,2026-03-21,108.2557,,51938.1025,1600.0,450.0,229.9664,150.0,0.049931,9229.9664,10295.9543,0.106599
22,2026-03-22,109.2943,,51708.1361,1600.0,450.0,225.4127,175.0,0.045179,9250.4127,10244.4673,0.099405
23,2026-03-23,110.2721,96.07,51482.7234,1600.0,450.0,220.9493,200.0,0.04088,9270.9493,10197.7841,0.092683
24,2026-03-24,111.1919,95.96,51261.7741,1600.0,450.0,216.5742,225.0,0.03699,9291.5742,10155.4516,0.086388
25,2026-03-25,112.0564,98.06,51045.1999,1600.0,450.0,212.2857,250.0,0.03347,9312.2857,10117.0608,0.080478
26,2026-03-26,112.868,100.1,50832.9142,1600.0,450.0,208.0822,275.0,0.030284,9333.0822,10082.2423,0.074916
27,2026-03-27,113.629,106.29,50624.832,1600.0,450.0,203.9619,300.0,0.027403,9353.9619,10050.6624,0.06967
28,2026-03-28,114.3415,,50420.8701,1600.0,450.0,199.9232,300.0,0.024795,9349.9232,10022.0196,0.06721
29,2026-03-29,115.0332,,50220.9469,1600.0,450.0,195.9644,300.0,0.022435,9345.9644,9995.9299,0.064997
30,2026-03-30,115.7061,108.89,50024.9825,1450.0,450.0,192.0841,300.0,0.0203,9492.0841,9972.1482,0.048006
31,2026-03-31,116.206,103.53,49832.8984,1450.0,450.0,188.2806,300.0,0.018368,9488.2806,9951.1217,0.046284
32,2026-04-01,116.69,100.24,49644.6179,1450.0,450.0,184.5523,300.0,0.01662,9484.5523,9931.9765,0.044742
33,2026-04-02,117.1599,109.24,49460.0655,1450.0,450.0,180.898,300.0,0.015039,9480.898,9914.532,0.043363
34,2026-04-03,117.6172,,49279.1675,1450.0,450.0,177.3159,300.0,0.013608,9477.3159,9898.6252,0.042131
35,2026-04-04,118.0632,,49101.8516,1450.0,450.0,173.8049,300.0,0.012313,9473.8049,9884.1086,0.04103
36,2026-04-05,118.4991,,48928.0467,1450.0,450.0,170.3633,300.0,0.011141,9470.3633,9870.8488,0.040049
37,2026-04-06,118.9262,109.7,48757.6834,1450.0,450.0,166.9899,300.0,0.010081,9466.9899,9858.7252,0.039174
38,2026-04-07,119.3455,103.42,48590.6936,1450.0,450.0,163.6832,300.0,0.009122,9463.6832,9847.6289,0.038395
39,2026-04-08,119.7579,96.7,48427.0103,1450.0,450.0,160.4421,300.0,0.008253,9460.4421,9837.4613,0.037702
40,2026-04-09,120.1643,96.41,48266.5682,1450.0,450.0,157.2651,300.0,0.007468,9457.2651,9828.1332,0.037087
41,2026-04-10,120.5654,94.26,48109.3031,1450.0,450.0,154.1511,300.0,0.006757,9454.1511,9819.5642,0.036541
42,2026-04-11,120.9619,,47955.152,1450.0,450.0,151.0987,300.0,0.006114,9451.0987,9811.6812,0.036058
43,2026-04-12,121.3544,,47804.0533,1450.0,450.0,148.1067,300.0,0.005532,9448.1067,9804.4185,0.035631
44,2026-04-13,121.7436,98.0,47655.9466,1450.0,450.0,145.174,300.0,0.005006,9445.174,9797.7164,0.035254
45,2026-04-14,122.1299,95.34,47510.7726,1450.0,450.0,142.2994,300.0,0.00453,9442.2994,9791.5212,0.034922
46,2026-04-15,122.5137,94.87,47368.4732,1450.0,450.0,139.4817,300.0,0.004099,9439.4817,9785.784,0.03463
47,2026-04-16,122.8956,98.21,47228.9915,1450.0,450.0,136.7197,300.0,0.003709,9436.7197,9780.461,0.034374
48,2026-04-17,123.2758,92.42,47092.2718,1450.0,450.0,134.0125,300.0,0.003356,9434.0125,9775.5122,0.03415
49,2026-04-18,123.6547,,46958.2593,1450.0,450.0,131.3589,300.0,0.003036,9431.3589,9770.9016,0.033954
50,2026-04-19,124.0325,,46826.9004,1450.0,450.0,128.7578,300.0,0.002747,9428.7578,9766.5969,0.033784
51,2026-04-20,124.4097,93.8,46698.1426,1450.0,450.0,126.2082,300.0,0.002486,9426.2082,9762.5684,0.033636
52,2026-04-21,124.7863,99.06,46571.9344,1450.0,450.0,123.7091,300.0,0.002249,9423.7091,9758.7897,0.033508
