date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.5680,
2026-03-02,75.9469,78.07
2026-03-03,77.3469,81.96
2026-03-04,78.7683,82.58
2026-03-05,80.2112,84.31
2026-03-06,81.6759,93.32
2026-03-07,83.1627,
2026-03-08,84.4099,
2026-03-09,85.6720,89.79
2026-03-10,86.9493,91.4
2026-03-11,88.2417,90.93
2026-03-12,89.3831,101.75
2026-03-13,90.3982,103.89
2026-03-14,91.3082,
2026-03-15,92.1309,
2026-03-16,92.8814,101.02
2026-03-17,93.5561,103.5
2026-03-18,94.1653,109.65
2026-03-19,94.7175,103.07
2026-03-20,95.2198,104.41
2026-03-21,95.6781,
2026-03-22,96.0973,
2026-03-23,96.4814,96.07
2026-03-24,96.8337,95.96
2026-03-25,97.1571,98.06
2026-03-26,97.4536,100.1
2026-03-27,97.7252,106.29
2026-03-28,97.9734,
2026-03-29,98.2165,
2026-03-30,98.4557,108.89
2026-03-31,98.5886,103.53
2026-04-01,98.7190,100.24
2026-04-02,98.8478,109.24
2026-04-03,98.9753,
2026-04-04,99.1020,
2026-04-05,99.2282,
2026-04-06,99.3542,109.7
2026-04-07,99.4802,103.42
2026-04-08,99.6064,96.7
2026-04-09,99.7329,96.41
2026-04-10,99.8598,94.26
2026-04-11,99.9873,
2026-04-12,100.1154,
2026-04-13,100.2442,98.0
2026-04-14,100.3737,95.34
2026-04-15,100.5041,94.87
2026-04-16,100.6352,98.21
2026-04-17,100.7671,92.42
2026-04-18,100.8999,
2026-04-19,101.0336,
2026-04-20,101.1682,93.8
2026-04-21,101.3036,99.06
2026-04-22,101.4400,101.55
2026-04-23,101.5772,106.01
2026-04-24,101.7154,105.88
2026-04-25,101.8544,
2026-04-26,101.9944,
2026-04-27,102.1352,101.97
2026-04-28,102.2770,104.48
2026-04-29,102.4197,112.49
2026-04-30,102.5632,110.86
2026-05-01,102.7077,109.2
2026-05-02,102.8530,
2026-05-03,102.9992,
2026-05-04,103.1463,114.06
2026-05-05,103.2943,110.31
2026-05-06,103.4431,101.96
2026-05-07,103.5928,103.37
2026-05-08,103.7434,100.25
2026-05-09,103.8948,
2026-05-10,104.0471,
2026-05-11,104.2003,104.58
2026-05-12,104.3542,107.69
2026-05-13,104.5091,105.72
2026-05-14,104.6647,106.59
2026-05-15,104.8212,109.47
2026-05-16,104.9785,
2026-05-17,105.1367,
2026-05-18,105.2956,109.69
2026-05-19,105.4554,110.92
2026-05-20,105.6160,105.16
2026-05-21,105.7774,104.92
2026-05-22,105.9396,104.25
2026-05-23,106.1025,
2026-05-24,106.2663,
2026-05-25,106.4309,93.64
2026-05-26,106.5962,96.28
2026-05-27,106.7623,92.88
2026-05-28,106.9292,92.4
2026-05-29,107.0969,91.89
