beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.07,450.0,0.005,0.15,0.2,3260.088577833658,107.09687490001993,106.39354801046542
0.07,450.0,0.005,0.15,0.15,3289.913330947029,108.56163823317962,107.87019203951044
0.07,400.0,0.005,0.15,0.25,3360.1446746014453,108.55019032145088,107.75369611958628
0.07,450.0,0.005,0.15,0.25,3367.849266072009,106.23651371300278,105.52631094393148
0.07,400.0,0.005,0.15,0.2,3394.9071831671235,109.42896271132514,108.63888920196166
0.07,350.0,0.005,0.15,0.25,3629.4206176458906,110.91405002572529,110.02789172818385
0.07,450.0,0.01,0.15,0.25,3665.626595416391,110.20196560898269,109.18889512961803
0.07,400.0,0.005,0.15,0.15,3668.1164498126736,110.9250075051166,110.14604248238426
0.07,450.0,0.005,0.12,0.1,3734.1456221000553,108.05720835722278,107.35976529996697
0.07,450.0,0.01,0.15,0.2,3734.534448401218,111.09439303306267,110.08613473719262
0.06,450.0,0.005,0.15,0.1,3753.4695318836348,106.27477057381954,105.6648921901019
0.07,400.0,0.005,0.12,0.15,3769.282333730613,107.99271889716718,107.19215945622193
0.06,400.0,0.005,0.15,0.1,3777.3922717406936,108.29968168491666,107.61400427655013
0.06,350.0,0.005,0.15,0.15,3799.250977636279,107.69804613302327,106.92152064326524
0.07,350.0,0.005,0.15,0.2,3813.64747100831,111.81162586809847,110.93141088268337
0.07,350.0,0.005,0.12,0.2,3870.237990973549,109.15049480764696,108.25295664928001
0.07,450.0,0.005,0.12,0.15,3886.656411433727,105.69118632608243,104.97663309610415
0.06,300.0,0.005,0.15,0.2,3889.3869348384446,108.43664632921019,107.57446189273577
0.06,300.0,0.005,0.15,0.15,3890.3269796233785,109.75085745028171,108.89465854710149
0.07,400.0,0.005,0.12,0.2,3904.202364268633,106.82401067201998,106.01519622015056
0.06,400.0,0.005,0.15,0.15,3913.5712247605197,105.68344217729334,104.98395309353799
0.07,350.0,0.005,0.12,0.15,3923.9867844381397,110.34416569574842,109.45424196742124
0.07,350.0,0.005,0.12,0.25,3925.895290318583,108.44786666174795,107.5459083221758
0.07,400.0,0.01,0.15,0.25,3927.3848778950733,112.14414341053826,111.07147807505666
0.06,350.0,0.005,0.15,0.2,3976.0092320374965,106.4079314266764,105.62473567210566
0.07,400.0,0.005,0.12,0.1,3984.043014146198,110.40909542427494,109.62435716289231
0.06,300.0,0.005,0.15,0.25,3990.6890497801314,107.66268920670551,106.79704366173291
0.06,400.0,0.01,0.15,0.15,4010.632499264564,108.72236383869972,107.78957644959667
0.06,350.0,0.005,0.15,0.1,4012.273251953401,110.36297782631624,109.598880418007
0.06,450.0,0.01,0.15,0.1,4047.566490434042,109.71837987423199,108.8463599489702
0.07,300.0,0.005,0.12,0.25,4052.4102497763265,110.80977579611333,109.81605827286823
0.07,450.0,0.01,0.12,0.15,4065.503520943184,109.63558417267389,108.61946767711181
0.07,450.0,0.005,0.15,0.1,4065.858844962993,111.60222963478427,110.93404319262386
0.07,450.0,0.01,0.15,0.15,4069.1335121005213,112.61363510643432,111.6137487771174
0.07,400.0,0.005,0.12,0.25,4070.9886745863255,106.1361049142449,105.32249230401204
0.06,350.0,0.01,0.15,0.15,4079.0850378022656,110.40274134106119,109.4174262175495
0.06,350.0,0.01,0.15,0.2,4083.8793678049224,109.08037727297295,108.09056221554187
0.06,450.0,0.01,0.15,0.15,4093.48890985443,107.06743506116567,106.18581251890286
0.07,300.0,0.005,0.12,0.2,4113.346150323371,111.52744002410572,110.53774667791515
0.07,400.0,0.01,0.15,0.2,4126.747427385539,113.05196706061284,111.98383851845786
0.06,300.0,0.01,0.15,0.2,4150.039159598198,110.76663936588803,109.72332241760333
0.07,400.0,0.01,0.12,0.2,4150.619838932067,110.3603237644772,109.27904396940411
0.07,450.0,0.01,0.12,0.2,4154.892078322245,108.44876528607425,107.42653658183306
0.06,300.0,0.01,0.15,0.25,4161.857850387042,109.97609629627642,108.93044051649846
0.07,400.0,0.005,0.1,0.1,4165.629939126968,108.05333458468726,107.2516654136819
0.06,400.0,0.01,0.15,0.2,4169.214788160192,107.41965805035618,106.48196561457138
0.06,350.0,0.005,0.15,0.25,4181.795350061439,105.64819242890887,104.86113145517876
0.06,350.0,0.01,0.15,0.25,4189.521378467696,108.30160803816673,107.30920700953833
0.07,300.0,0.005,0.15,0.25,4190.150160811123,113.32917643240289,112.34987693661057
0.07,400.0,0.01,0.12,0.25,4194.913082251317,109.64967939361871,108.56508242751806
0.07,450.0,0.005,0.12,0.2,4201.320508853058,104.54692092999451,103.82350167748966
0.06,450.0,0.015,0.15,0.15,4218.896902436219,109.6726833871911,108.61730624879353
0.06,450.0,0.005,0.15,0.15,4224.224131393845,103.70633818785201,103.08131810996709
0.07,400.0,0.01,0.12,0.15,4225.715889834351,111.56758321266737,110.49204474430198
0.07,350.0,0.005,0.1,0.15,4234.785289477499,108.3867696582959,107.48439342601174
0.07,450.0,0.015,0.15,0.25,4239.89938827631,113.284862511286,112.06569438853668
0.06,400.0,0.005,0.15,0.2,4260.65009535068,104.41698437619289,103.71016685762591
0.06,400.0,0.01,0.15,0.1,4268.189875007171,111.41317448784454,110.48915983183085
0.06,400.0,0.015,0.15,0.2,4274.239454986235,109.73999026698033,108.64668171195525
0.06,400.0,0.015,0.15,0.15,4274.991941841503,111.07064710128279,109.98065330635278
0.07,350.0,0.01,0.12,0.25,4293.648425997389,111.58253386337108,110.43735346675528
0.07,450.0,0.01,0.12,0.25,4296.188552790407,107.75017639961004,106.72441140748619
0.07,350.0,0.005,0.1,0.1,4299.565662504684,110.40557376654893,109.51447393245176
0.07,450.0,0.005,0.1,0.1,4303.3229901021205,105.75101588810048,105.03541772867439
0.06,300.0,0.01,0.15,0.15,4304.6068762393525,112.10895676087237,111.06972140092387
0.06,350.0,0.015,0.15,0.2,4309.513397805675,111.13917528251248,110.01076740250092
0.07,300.0,0.005,0.1,0.2,4327.94628154953,109.74708054887738,108.74752288210587
0.06,350.0,0.015,0.15,0.25,4330.985555740675,110.34577294459974,109.21561456907547
0.07,300.0,0.005,0.1,0.15,4337.178937870678,110.74704038021335,109.7529369070938
0.07,350.0,0.005,0.15,0.15,4342.094035802366,113.33961723050562,112.46970086617938
0.07,350.0,0.01,0.12,0.2,4350.3749954524255,112.30544086426166,111.1633499424781
0.06,450.0,0.015,0.15,0.2,4352.795025035247,108.35832454537244,107.29940693354182
0.06,300.0,0.005,0.12,0.1,4363.900896501722,109.2738507354795,108.41384037412588
0.07,300.0,0.005,0.12,0.15,4365.049681280103,112.74660441171017,111.76385437851373
0.06,400.0,0.01,0.15,0.25,4365.398259535877,106.65248821986388,105.71197049099808
