date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.8499,
2026-03-02,76.5196,78.07
2026-03-03,78.2194,81.96
2026-03-04,79.9498,82.58
2026-03-05,81.7111,84.31
2026-03-06,83.5038,93.32
2026-03-07,85.3282,
2026-03-08,87.1848,
2026-03-09,89.0740,89.79
2026-03-10,90.9962,91.4
2026-03-11,92.5514,90.93
2026-03-12,93.9340,101.75
2026-03-13,95.1685,103.89
2026-03-14,96.2764,
2026-03-15,97.2767,
2026-03-16,98.1855,101.02
2026-03-17,98.9973,103.5
2026-03-18,99.7237,109.65
2026-03-19,100.3746,103.07
2026-03-20,100.9586,104.41
2026-03-21,101.4829,
2026-03-22,101.9537,
2026-03-23,102.3760,96.07
2026-03-24,102.7543,95.96
2026-03-25,103.0924,98.06
2026-03-26,103.3934,100.1
2026-03-27,103.6599,106.29
2026-03-28,103.8941,
2026-03-29,104.1188,
2026-03-30,104.3355,108.89
2026-03-31,104.2953,103.53
2026-04-01,104.2502,100.24
2026-04-02,104.2014,109.24
2026-04-03,104.1495,
2026-04-04,104.0953,
2026-04-05,104.0394,
2026-04-06,103.9823,109.7
2026-04-07,103.9243,103.42
2026-04-08,103.8658,96.7
2026-04-09,103.8071,96.41
2026-04-10,103.7483,94.26
2026-04-11,103.6897,
2026-04-12,103.6315,
2026-04-13,103.5737,98.0
2026-04-14,103.5165,95.34
2026-04-15,103.4599,94.87
2026-04-16,103.4041,98.21
2026-04-17,103.3490,92.42
2026-04-18,103.2948,
2026-04-19,103.2414,
2026-04-20,103.1890,93.8
2026-04-21,103.1375,99.06
2026-04-22,103.0869,101.55
2026-04-23,103.0372,106.01
2026-04-24,102.9886,105.88
2026-04-25,102.9409,
2026-04-26,102.8942,
2026-04-27,102.8485,101.97
2026-04-28,102.8037,104.48
2026-04-29,102.7600,112.49
2026-04-30,102.7172,110.86
2026-05-01,102.6755,109.2
2026-05-02,102.6347,
2026-05-03,102.5948,
2026-05-04,102.5560,114.06
2026-05-05,102.5181,110.31
2026-05-06,102.4812,101.96
2026-05-07,102.4452,103.37
2026-05-08,102.4102,100.25
2026-05-09,102.3761,
2026-05-10,102.3429,
2026-05-11,102.3107,104.58
2026-05-12,102.2794,107.69
2026-05-13,102.2491,105.72
2026-05-14,102.2196,106.59
2026-05-15,102.1911,109.47
2026-05-16,102.1634,
2026-05-17,102.1367,
2026-05-18,102.1108,109.69
2026-05-19,102.0859,110.92
2026-05-20,102.0618,105.16
2026-05-21,102.0385,104.92
2026-05-22,102.0162,104.25
2026-05-23,101.9946,
2026-05-24,101.9740,
2026-05-25,101.9542,93.64
2026-05-26,101.9352,96.28
2026-05-27,101.9170,92.88
2026-05-28,101.8997,92.4
2026-05-29,101.8832,91.89
