date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.6925,
2026-03-02,76.1990,78.07
2026-03-03,77.7298,81.96
2026-03-04,79.2852,82.58
2026-03-05,80.8654,84.31
2026-03-06,82.4708,93.32
2026-03-07,84.1015,
2026-03-08,85.7579,
2026-03-09,87.0866,89.79
2026-03-10,88.3833,91.4
2026-03-11,89.6485,90.93
2026-03-12,90.8829,101.75
2026-03-13,92.0873,103.89
2026-03-14,93.2621,
2026-03-15,94.4083,
2026-03-16,95.5264,101.02
2026-03-17,96.5994,103.5
2026-03-18,97.6274,109.65
2026-03-19,98.6108,103.07
2026-03-20,99.5499,104.41
2026-03-21,100.3330,
2026-03-22,101.0711,
2026-03-23,101.7649,96.07
2026-03-24,102.4149,95.96
2026-03-25,103.0218,98.06
2026-03-26,103.5862,100.1
2026-03-27,104.1087,106.29
2026-03-28,104.5901,
2026-03-29,105.0506,
2026-03-30,105.4911,108.89
2026-03-31,105.9125,103.53
2026-04-01,106.3155,100.24
2026-04-02,106.7010,109.24
2026-04-03,106.9950,
2026-04-04,107.2210,
2026-04-05,107.3965,
2026-04-06,107.5347,109.7
2026-04-07,107.6452,103.42
2026-04-08,107.7353,96.7
2026-04-09,107.8104,96.41
2026-04-10,107.8745,94.26
2026-04-11,107.9306,
2026-04-12,107.9809,
2026-04-13,108.0269,98.0
2026-04-14,108.0700,95.34
2026-04-15,108.1110,94.87
2026-04-16,108.1505,98.21
2026-04-17,108.1891,92.42
2026-04-18,108.2272,
2026-04-19,108.2649,
2026-04-20,108.3025,93.8
2026-04-21,108.3402,99.06
2026-04-22,108.3780,101.55
2026-04-23,108.4161,106.01
2026-04-24,108.4544,105.88
2026-04-25,108.2084,
2026-04-26,107.9643,
2026-04-27,107.7222,101.97
2026-04-28,107.4820,104.48
2026-04-29,107.2438,112.49
2026-04-30,107.0075,110.86
2026-05-01,106.7732,109.2
2026-05-02,106.5408,
2026-05-03,106.3103,
2026-05-04,106.0817,114.06
2026-05-05,105.8550,110.31
2026-05-06,105.6302,101.96
2026-05-07,105.4072,103.37
2026-05-08,105.1860,100.25
2026-05-09,104.9667,
2026-05-10,104.7492,
2026-05-11,104.5335,104.58
2026-05-12,104.3196,107.69
2026-05-13,104.1074,105.72
2026-05-14,103.8970,106.59
2026-05-15,103.6883,109.47
2026-05-16,103.4814,
2026-05-17,103.2762,
2026-05-18,103.0726,109.69
2026-05-19,102.8707,110.92
2026-05-20,102.6705,105.16
2026-05-21,102.4720,104.92
2026-05-22,102.2751,104.25
2026-05-23,102.0798,
2026-05-24,101.8861,
2026-05-25,101.6940,93.64
2026-05-26,101.5035,96.28
2026-05-27,101.3146,92.88
2026-05-28,101.1272,92.4
2026-05-29,100.9414,91.89
