beta,tau_r,r_max,c_max,k_c,l2,l3,t1,t2,f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.05,0.3,3196.38976284714,108.45439879491391,106.5922344908885,101.74978775101256,4.082801566255534,158.09202224755296,4553.982962345597
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.05,0.25,3248.509733292763,108.67684038776127,106.80765590006085,101.93929267760599,4.082801566255534,164.75827756454788,4636.841700816844
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,32,0.05,0.3,3376.8937454089537,108.99264725263012,107.10622432294636,102.20043943125515,4.082801566255534,174.1698906821098,4810.975042298132
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.05,0.3,3369.9138403972534,109.19531970441328,107.29974468004102,102.37006911907994,4.082801566255534,180.42323986162407,4836.253100584825
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,32,0.05,0.3,3221.346364887716,108.65150638381428,107.97702847255523,102.96355387640227,4.082801566255534,203.16900383539513,4863.418390796143
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,32,0.05,0.3,3305.072502224323,108.86689959922334,107.1115587890037,102.62173811422285,4.083106877036413,193.03842572867165,4889.140356696076
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,35,0.05,0.3,3418.035965224692,109.23871108570847,107.34251674982492,102.40772296688941,4.082801566255534,181.8262893745321,4891.863973093159
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,32,0.05,0.25,3437.230027516969,109.21614134466412,107.32263614431811,102.39074468224635,4.082801566255534,181.19304869314465,4907.815695926351
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.05,0.25,3433.362507333504,109.4192100422853,107.51652934025144,102.56067557735815,4.082801566255534,187.58143955293667,4938.389326592174
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,32,0.05,0.3,3243.550120786591,108.45439879491391,106.90040817401473,102.86788132767944,4.082801566255534,205.23879028791146,4949.680924987932
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,32,0.05,0.25,3286.4473786108897,108.87287896477376,108.19525404202992,103.15533337016736,4.082801566255534,210.8074855816085,4972.838527118546
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,35,0.05,0.25,3465.5577289085163,109.43034253228491,107.53062706727087,102.57365571218213,4.082801566255534,188.0740301587151,4973.489178180496
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,32,0.05,0.25,3366.0334655053475,109.09014576290252,107.32799074881984,102.81283957985818,4.083106877036413,200.4653110948193,4990.174145005187
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,32,0.05,0.25,3302.7766766088316,108.67684038776127,107.11645258909464,103.0594785000777,4.082801566255534,212.91931474288975,5050.066799256949
0.075,8,550.0,400.0,0.002,1500.0,1100.0,20,55,0.15,8,32,0.05,0.3,3523.623919153809,109.796465398679,107.87368757668237,102.87301784017463,4.082801566255534,199.61196564052017,5096.758384005429
0.075,10,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,32,0.05,0.3,3588.441417161975,109.73728370655513,107.81718771236763,102.82351597322827,4.082801566255534,197.6803748141586,5150.324650226538
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,60,0.15,8,32,0.05,0.3,3432.849850280836,109.18087275674583,108.49772717463694,103.4196314073235,4.082801566255534,221.56487733728503,5184.071547057146
0.075,8,550.0,400.0,0.003,1450.0,1100.0,25,55,0.15,8,32,0.05,0.3,3508.7142763253555,109.4071758413048,107.62803801912871,103.0762558951036,4.083106877036413,210.9319834931873,5191.576796669973
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,35,0.05,0.3,3629.020371331616,109.78067026241594,107.85995581478429,102.86115308062323,4.082801566255534,199.1481482139621,5199.506542761292
0.075,8,550.0,400.0,0.002,1500.0,1100.0,20,55,0.15,8,32,0.05,0.25,3594.411371673131,110.02151326731777,108.0915610451028,103.06450254228196,4.082801566255534,207.1722255079493,5212.744619393193
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,38,0.05,0.3,3624.614698054231,109.9237732348552,107.99942903919869,102.98369600144181,4.082801566255534,203.9646504863735,5223.680069780239
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,32,0.05,0.3,3437.6145138176075,109.38018894684753,108.69377350009663,103.59130349286633,4.082801566255534,228.69553438789336,5233.440757379774
0.075,10,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,32,0.05,0.3,3510.9867682709396,109.61064066025624,107.82252320614641,103.24736508327295,4.083106877036413,217.87349583551037,5234.5594757877
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,35,0.05,0.3,3633.5867717884507,109.98473972863995,108.05477462894547,103.03182844974407,4.082801566255534,205.87218261219795,5243.9683717095895
0.075,8,550.0,400.0,0.002,1450.0,1150.0,25,55,0.15,8,32,0.05,0.3,3441.0073415147485,108.99264725263012,107.41588683209743,103.32351198806074,4.082801566255534,223.7343224009396,5248.473412199358
0.075,10,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,32,0.05,0.25,3660.2628629494916,109.96223347225677,108.03496913119577,103.01492749196022,4.082801566255534,205.20144122539213,5266.704457341511
0.075,10,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,32,0.05,0.3,3440.4488354650125,109.19531970441328,107.60996774473399,103.49501584186646,4.082801566255534,230.90268187023014,5289.579102570555
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,35,0.05,0.3,3558.363157472326,109.6540628576531,107.8653752617749,103.28522999592322,4.083106877036413,219.42476694297136,5291.269439172196
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,35,0.05,0.25,3683.3074178897973,109.97320812365064,108.0489306860168,103.02778638810064,4.082801566255534,205.7117967650001,5292.990875497738
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,35,0.05,0.3,3488.343742116408,109.4240751902927,108.73710036767514,103.62940754715635,4.082801566255534,230.29354909840555,5294.350827009866
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,60,0.15,8,32,0.05,0.3,3374.4325291580894,109.13748094447517,108.50291764039784,103.84579227460831,4.083106877036413,243.03313352283507,5296.571278953457
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,38,0.05,0.25,3663.724194137076,110.08606110348299,108.16302432555683,103.12887684281513,4.082801566255534,209.7455808795736,5298.215145044074
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,60,0.15,8,32,0.05,0.3,3299.0766967565023,108.65150638381428,108.08948268867914,103.91864715594038,4.082801566255534,249.0931224190358,5300.209984293235
0.075,8,550.0,400.0,0.003,1450.0,1100.0,25,55,0.15,8,32,0.05,0.25,3578.011194273813,109.63147827233904,107.84546500795693,103.26816443453987,4.083106877036413,218.7250153337475,5306.831943249405
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,60,0.15,8,32,0.05,0.25,3506.345716184868,109.40327362802691,108.71695610904905,103.61222092052508,4.082801566255534,229.5721678798924,5307.806352233906
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.16,8,32,0.05,0.3,3686.2623537846184,110.06413336541738,108.12929651168959,103.09695224893923,4.235486528810051,208.46722965351313,5310.802444536669
0.075,8,550.0,400.0,0.002,1500.0,1100.0,25,55,0.15,8,32,0.05,0.3,3674.837998515038,110.15939850457053,108.22015639767419,103.17652962535304,4.082801566255534,211.660271017269,5320.4910618012655
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,10,32,0.05,0.3,3713.2147907335134,110.00587187333895,108.07372530107246,103.04827868537745,4.082801566255534,206.5261525553733,5327.488893039562
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,35,0.05,0.25,3690.436351447064,110.17761883732703,108.24407495952008,103.19872541813405,4.082801566255534,212.55535809809658,5341.943979148913
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,35,0.05,0.3,3489.998353114774,109.23871108570847,107.65286324213635,103.53308512806016,4.082801566255534,232.50918787849798,5348.708448390974
0.075,10,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,32,0.05,0.25,3583.441744821868,109.83534081211386,108.0403248248828,103.43957741325107,4.083106877036413,225.80508124361546,5355.201456077267
0.075,8,550.0,400.0,0.003,1450.0,1150.0,20,55,0.15,8,32,0.05,0.3,3380.2144185844077,108.86689959922334,107.42122318249855,103.74933018224607,4.083106877036413,245.31405032348636,5361.963044020975
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,32,0.05,0.25,3514.290253372858,109.60297692800006,108.91338014944998,103.78419786223814,4.082801566255534,236.84236478782123,5362.596815422647
0.075,8,550.0,400.0,0.002,1450.0,1150.0,25,55,0.15,8,32,0.05,0.25,3508.545470832216,109.21614134466412,107.63292452906819,103.51591836869954,4.082801566255534,231.78415294036515,5363.067731605742
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,35,0.05,0.25,3613.496480842901,109.8463830473835,108.05436352219063,103.45255657785904,4.083106877036413,226.34583874182843,5388.76333947472
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,35,0.05,0.25,3547.36927552078,109.61696816657778,108.92765301054858,103.79732612500244,4.082801566255534,237.40208133860028,5399.397693255305
0.075,10,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,32,0.05,0.25,3511.135353312122,109.4192100422853,107.82737936083956,103.68772677333375,4.082801566255534,239.0922400922936,5409.554597341137
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,60,0.15,8,32,0.05,0.25,3369.6217894830074,108.87287896477376,108.3079349360531,104.11221352253104,4.082801566255534,257.6340972054376,5423.889822972325
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,60,0.15,8,32,0.05,0.25,3448.6266902812963,109.35980336326816,108.72216654353656,104.03918725063566,4.083106877036413,251.45764168561078,5424.841582984125
0.075,8,550.0,400.0,0.002,1450.0,1200.0,20,55,0.15,8,32,0.05,0.3,3323.2617716771624,108.45439879491391,107.20943678249576,103.99801928448245,4.082801566255534,259.2040218179361,5441.156299500093
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.16,8,32,0.05,0.25,3768.390372761266,110.30476434008293,108.36224088883128,103.30164393254128,4.235486528810051,216.72959240872115,5444.347689515724
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,35,0.05,0.25,3543.8209023469713,109.43034253228491,107.84151676557227,103.70084867774314,4.082801566255534,239.65513295412464,5445.86521600375
0.075,8,550.0,400.0,0.002,1500.0,1100.0,25,55,0.15,8,32,0.05,0.25,3751.2593428950054,110.3851556225404,108.4386970818052,103.36855304357225,4.082801566255534,219.46512189485202,5446.072468233235
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,10,32,0.05,0.25,3797.3602611186616,110.25506513644693,108.31496196394355,103.2602647789113,4.082801566255534,215.04641259513272,5464.256188434706
0.075,8,550.0,400.0,0.003,1450.0,1150.0,20,55,0.15,8,32,0.05,0.25,3448.4374214631725,109.09014576290252,107.63828104897225,103.94254136091081,4.083106877036413,253.7816450769284,5480.938358498723
0.075,10,550.0,400.0,0.002,1500.0,1100.0,20,55,0.15,8,32,0.05,0.3,3767.606571538847,110.546619779475,108.58977769106698,103.50024036562799,4.082801566255534,224.89904213687333,5497.302367495
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.04,0.3,3852.361549590779,110.3108390423611,108.36504651076511,103.30347364918921,4.082801566255534,216.8040828519239,5530.161533992533
0.075,8,550.0,400.0,0.003,1500.0,1100.0,20,55,0.15,8,32,0.05,0.3,3685.1435890169055,110.2139622653638,108.39916100185113,103.7545540382076,4.083106877036413,239.1085081307014,5540.695304884668
0.075,8,550.0,400.0,0.002,1500.0,1100.0,20,55,0.15,8,35,0.05,0.3,3813.147434084407,110.59000101082235,108.63254171721137,103.53785423895691,4.082801566255534,226.4633535078966,5553.108441100933
0.075,8,550.0,400.0,0.002,1450.0,1200.0,20,55,0.15,8,32,0.05,0.25,3389.7745171111437,108.67684038776127,107.42610593261627,104.19173134442215,4.082801566255534,267.9340873627934,5559.581912097574
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,38,0.05,0.3,3860.8670531855532,110.46897250525596,108.51988712748073,103.4395577112443,4.082801566255534,222.38678244781593,5574.447084915983
0.075,10,550.0,400.0,0.003,1450.0,1100.0,25,55,0.15,8,32,0.05,0.3,3753.1016792744063,110.15464644895039,108.34247238905809,103.7047021399691,4.083106877036413,236.97760335355443,5594.931477966551
0.075,8,550.0,400.0,0.002,1500.0,1150.0,20,55,0.15,8,32,0.05,0.3,3613.326983211695,109.796465398679,108.18557314826958,104.00352152242002,4.082801566255534,252.8203983930547,5597.3138119270525
0.075,10,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,35,0.05,0.3,3883.1760400309627,110.53043887557878,108.57568899489937,103.4880701781643,4.082801566255534,224.39406968263913,5609.639290474058
0.08,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.05,0.3,3966.2976080517474,110.86230970532398,108.76278525927123,103.3337363276632,4.357271989522715,215.95749826676683,5610.307660878635
0.075,10,550.0,400.0,0.002,1450.0,1100.0,25,60,0.15,8,32,0.05,0.3,3687.7414795625623,109.91314644152249,109.21797067461632,104.0502101436582,4.082801566255534,248.31070767742875,5612.256547453514
0.075,10,550.0,400.0,0.002,1500.0,1100.0,20,55,0.15,8,32,0.05,0.25,3850.074690322495,110.77313349081497,108.80903006719033,103.69283827060505,4.082801566255534,232.96611107212752,5633.180463688023
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,38,0.05,0.3,3875.004451360767,110.67426180331532,108.71584244606126,103.61114822643447,4.082801566255534,229.5271127561503,5635.241090770053
0.075,8,550.0,400.0,0.002,1500.0,1100.0,20,60,0.15,8,32,0.05,0.3,3647.929449813752,110.17611629056405,109.47660898850793,104.27657131716008,4.082801566255534,258.282953186639,5640.99077522972
0.075,8,550.0,400.0,0.003,1450.0,1100.0,25,55,0.15,8,35,0.05,0.3,3792.913857322223,110.19806317092277,108.3853198708434,103.74254969984221,4.083106877036413,238.5945231533261,5645.203191420276
0.075,10,550.0,400.0,0.002,1450.0,1150.0,25,55,0.15,8,32,0.05,0.3,3676.2493524265597,109.73728370655513,108.12890962339145,103.95347271503861,4.082801566255534,250.6191494725448,5646.211640945382
0.075,8,550.0,400.0,0.002,1450.0,1150.0,25,60,0.15,8,32,0.05,0.3,3523.5629070904133,109.18087275674583,108.61072202266882,104.37897523701844,4.082801566255534,269.64018110568816,5654.862630253882
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,38,0.05,0.25,3905.4636615771556,110.63202777113521,108.68423406371821,103.58535134024909,4.082801566255534,228.44671839348547,5658.94428628313
0.075,8,550.0,400.0,0.002,1500.0,1100.0,20,55,0.15,8,35,0.05,0.25,3876.4342759787332,110.78386684946558,108.8227830157734,103.70551172336333,4.082801566255534,233.50199644077114,5663.270302831429
0.075,8,550.0,400.0,0.003,1450.0,1100.0,25,60,0.15,8,32,0.05,0.3,3609.6805763378984,109.66919925565324,109.02613734208023,104.30578192700854,4.083106877036413,263.30562059010447,5664.271216505125
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,60,0.15,8,35,0.05,0.3,3730.9509043677213,109.95702990582589,109.2612935188782,104.0882972601849,4.082801566255534,249.97490651375367,5666.781812513207
0.075,8,550.0,400.0,0.003,1500.0,1100.0,20,55,0.15,8,32,0.05,0.25,3765.0571272048537,110.43982391923494,108.61805634154602,103.94765188740851,4.083106877036413,247.4524281333566,5675.440147696818
0.075,8,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,38,0.05,0.3,3792.3036220817894,110.34159890885573,108.5253661697875,103.86605368639287,4.083106877036413,243.90903563530287,5679.308073415506
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.16,8,32,0.05,0.3,3947.7326691696367,110.61015721420459,108.65050487909346,103.55342645151113,4.235486528810051,227.1125561368455,5690.386116750399
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.04,0.25,3955.491321541694,110.59824658607886,108.64325688643248,103.54789644808102,4.082801566255534,226.8820135990845,5698.324584281091
