date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.8499,
2026-03-02,76.5196,78.07
2026-03-03,78.2194,81.96
2026-03-04,79.9498,82.58
2026-03-05,81.7111,84.31
2026-03-06,83.5038,93.32
2026-03-07,85.3282,
2026-03-08,87.1848,
2026-03-09,89.0740,89.79
2026-03-10,90.9962,91.4
2026-03-11,92.9518,90.93
2026-03-12,94.3386,101.75
2026-03-13,95.5766,103.89
2026-03-14,96.6875,
2026-03-15,97.6903,
2026-03-16,98.6012,101.02
2026-03-17,99.4147,103.5
2026-03-18,100.1424,109.65
2026-03-19,100.7944,103.07
2026-03-20,101.3792,104.41
2026-03-21,101.9039,
2026-03-22,102.3749,
2026-03-23,102.7973,96.07
2026-03-24,103.1755,95.96
2026-03-25,103.5133,98.06
2026-03-26,103.7310,100.1
2026-03-27,103.9141,106.29
2026-03-28,104.0647,
2026-03-29,104.2058,
2026-03-30,104.3390,108.89
2026-03-31,104.4657,103.53
2026-04-01,104.5871,100.24
2026-04-02,104.7041,109.24
2026-04-03,104.8175,
2026-04-04,104.9281,
2026-04-05,105.0363,
2026-04-06,105.1427,109.7
2026-04-07,105.2478,103.42
2026-04-08,105.3517,96.7
2026-04-09,105.4548,96.41
2026-04-10,105.5573,94.26
2026-04-11,105.6594,
2026-04-12,105.7613,
2026-04-13,105.8631,98.0
2026-04-14,105.9648,95.34
2026-04-15,106.0668,94.87
2026-04-16,106.1688,98.21
2026-04-17,106.2712,92.42
2026-04-18,106.3738,
2026-04-19,106.4768,
2026-04-20,106.5801,93.8
2026-04-21,106.6839,99.06
2026-04-22,106.7881,101.55
2026-04-23,106.8927,106.01
2026-04-24,106.9979,105.88
2026-04-25,107.1035,
2026-04-26,107.2096,
2026-04-27,107.3162,101.97
2026-04-28,107.4233,104.48
2026-04-29,107.5309,112.49
2026-04-30,107.3379,110.86
2026-05-01,107.1016,109.2
2026-05-02,106.8257,
2026-05-03,106.5140,
2026-05-04,106.1699,114.06
2026-05-05,105.7964,110.31
2026-05-06,105.3965,101.96
2026-05-07,104.9729,103.37
2026-05-08,104.5280,100.25
2026-05-09,104.0643,
2026-05-10,103.5837,
2026-05-11,103.0883,104.58
2026-05-12,102.5798,107.69
2026-05-13,102.0598,105.72
2026-05-14,101.5300,106.59
2026-05-15,100.9916,109.47
2026-05-16,100.4460,
2026-05-17,99.8943,
2026-05-18,99.3376,109.69
2026-05-19,98.7768,110.92
2026-05-20,98.2129,105.16
2026-05-21,97.6466,104.92
2026-05-22,97.0786,104.25
2026-05-23,96.5098,
2026-05-24,95.9405,
2026-05-25,95.3715,93.64
2026-05-26,94.8032,96.28
2026-05-27,94.2360,92.88
2026-05-28,93.6704,92.4
2026-05-29,93.1067,91.89
