beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.08,11,550.0,400.0,0.003,60,0.07,0.08,2454.5859964354468,107.53087524004047,106.78731555249479,95.51572179830671,4.520652702501038,4.932799808276454,2847.1675901638223
0.082,10,550.0,400.0,0.003,60,0.07,0.08,2507.3483787313653,107.9867746106566,107.21660384261295,95.60950594768066,4.634683323092759,5.285487636601266,2852.2837368951255
0.082,11,550.0,400.0,0.003,60,0.07,0.08,2554.8414813220706,108.37832941962071,107.60106487578534,95.9231123201152,4.634683323092759,7.976649087459275,2872.5529184283123
0.08,10,550.0,400.0,0.003,60,0.07,0.08,2440.087736991039,107.1498443357576,106.41299201339635,95.20870542523377,4.520652702501038,2.911651153811764,2872.703708542564
0.08,10,550.0,400.0,0.003,60,0.05,0.12,2387.5933223285615,107.1498443357576,106.41121999544676,96.27500492704188,4.520652702501038,16.465291406863965,2887.411282127024
0.082,10,550.0,400.0,0.0025,60,0.07,0.08,2522.9130533703947,107.72773158790518,106.93688152550071,95.17340951383154,4.6345160183722145,2.282313158271032,2891.09711861985
0.082,11,550.0,400.0,0.0025,60,0.07,0.08,2561.7687010485442,108.11834559512099,107.32033778665127,95.48557738059017,4.6345160183722145,4.131855603359962,2891.3155159755934
0.08,11,550.0,400.0,0.003,60,0.05,0.12,2408.658156745429,107.53087524004047,106.78553762644347,96.58528814018773,4.520652702501038,20.97552788899071,2894.822604082881
0.08,11,550.0,400.0,0.0025,60,0.05,0.12,2421.705836634701,107.27873550896179,106.51318781234863,96.15455132752489,4.52048956773734,14.411035999282301,2895.5397706913627
0.08,11,550.0,400.0,0.0025,60,0.07,0.08,2476.510464897411,107.27873550896179,106.51496132647449,95.08955051698925,4.52048956773734,2.101662333867802,2895.6001157689866
0.082,10,550.0,400.0,0.0025,60,0.05,0.12,2469.1802039215954,107.72773158790518,106.93505761878536,96.26536795945455,4.6345160183722145,15.320434004344737,2898.948468898325
0.08,11,550.0,400.0,0.003,60,0.05,0.16,2468.4205496290842,107.53087524004047,106.73029102669588,95.94559410609708,4.520652702501038,11.816844627667962,2902.4801344070465
0.082,10,550.0,425.0,0.003,60,0.05,0.08,2352.2621246108197,106.9205448958618,106.18150732734803,96.52349648788743,4.592908359469039,20.311435311938077,2902.79263600108
0.08,10,550.0,400.0,0.0025,60,0.05,0.12,2408.851918300973,106.89859932761938,106.13982632904754,95.84565939751894,4.52048956773734,10.73562038717802,2907.520368110604
