date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.5680,
2026-03-02,75.9469,78.07
2026-03-03,77.3469,81.96
2026-03-04,78.7683,82.58
2026-03-05,80.2112,84.31
2026-03-06,81.6759,93.32
2026-03-07,83.1627,
2026-03-08,84.4099,
2026-03-09,85.6720,89.79
2026-03-10,86.9493,91.4
2026-03-11,88.2417,90.93
2026-03-12,89.3831,101.75
2026-03-13,90.3982,103.89
2026-03-14,91.3082,
2026-03-15,92.1309,
2026-03-16,92.8814,101.02
2026-03-17,93.5561,103.5
2026-03-18,94.1653,109.65
2026-03-19,94.7175,103.07
2026-03-20,95.2198,104.41
2026-03-21,95.6781,
2026-03-22,96.0973,
2026-03-23,96.4814,96.07
2026-03-24,96.8337,95.96
2026-03-25,97.1571,98.06
2026-03-26,97.4536,100.1
2026-03-27,97.7252,106.29
2026-03-28,97.9734,
2026-03-29,98.2165,
2026-03-30,98.4557,108.89
2026-03-31,98.5196,103.53
2026-04-01,98.5813,100.24
2026-04-02,98.6413,109.24
2026-04-03,98.7003,
2026-04-04,98.7585,
2026-04-05,98.8163,
2026-04-06,98.8740,109.7
2026-04-07,98.9318,103.42
2026-04-08,98.9899,96.7
2026-04-09,99.0485,96.41
2026-04-10,99.1076,94.26
2026-04-11,99.1673,
2026-04-12,99.2278,
2026-04-13,99.2890,98.0
2026-04-14,99.3511,95.34
2026-04-15,99.4140,94.87
2026-04-16,99.4779,98.21
2026-04-17,99.5426,92.42
2026-04-18,99.6084,
2026-04-19,99.6750,
2026-04-20,99.7426,93.8
2026-04-21,99.8112,99.06
2026-04-22,99.8808,101.55
2026-04-23,99.9514,106.01
2026-04-24,100.0229,105.88
2026-04-25,100.0954,
2026-04-26,100.1689,
2026-04-27,100.2433,101.97
2026-04-28,100.3187,104.48
2026-04-29,100.3951,112.49
2026-04-30,100.4725,110.86
2026-05-01,100.5508,109.2
2026-05-02,100.6300,
2026-05-03,100.7102,
2026-05-04,100.7913,114.06
2026-05-05,100.8734,110.31
2026-05-06,100.9563,101.96
2026-05-07,101.0402,103.37
2026-05-08,101.1250,100.25
2026-05-09,101.2108,
2026-05-10,101.2974,
2026-05-11,101.3849,104.58
2026-05-12,101.4733,107.69
2026-05-13,101.5626,105.72
2026-05-14,101.6528,106.59
2026-05-15,101.7438,109.47
2026-05-16,101.8357,
2026-05-17,101.9285,
2026-05-18,102.0221,109.69
2026-05-19,102.1166,110.92
2026-05-20,102.2119,105.16
2026-05-21,102.3081,104.92
2026-05-22,102.4050,104.25
2026-05-23,102.5029,
2026-05-24,102.6015,
2026-05-25,102.7009,93.64
2026-05-26,102.8012,96.28
2026-05-27,102.9022,92.88
2026-05-28,103.0041,92.4
2026-05-29,103.1067,91.89
