l_early,l_late,t_late,tau_b,b_slope,b_max,sse,peak,late_mean,loss
1600.0,1350.0,30,15,25.0,300.0,3225.781121356895,103.10673624922573,102.68002540824985,3615.73061944381
1600.0,1450.0,30,15,25.0,400.0,3231.824170620162,103.07759102445638,102.6505721692914,3621.290310573169
1600.0,1400.0,30,15,25.0,300.0,3180.3539934013957,105.08308944075695,104.52046905934637,3622.2759414899438
1600.0,1400.0,30,15,25.0,350.0,3234.3618982612184,103.06288568732202,102.63571146725882,3623.5894015537547
1600.0,1450.0,30,15,25.0,350.0,3184.7990752993333,105.0383909490966,104.47535459519406,3624.6389994805672
1600.0,1400.0,30,15,30.0,300.0,3204.6959826689367,104.90856442313894,104.34432142208821,3638.672609005236
1600.0,1450.0,30,15,30.0,350.0,3217.8751482126954,104.80187440397302,104.23664151314844,3647.238214907964
1600.0,1400.0,30,15,35.0,300.0,3224.083016508441,104.787106637516,104.22173685095234,3652.822045295087
1600.0,1350.0,30,15,30.0,300.0,3266.248588075009,102.93552195195988,102.5070033676127,3653.556380823328
1600.0,1450.0,25,15,25.0,350.0,3243.904655370719,104.59489806056129,104.02774923556692,3664.8444869644936
1600.0,1400.0,30,15,40.0,300.0,3240.19393809217,104.69492630591813,104.12870268963081,3665.1177469588483
1600.0,1450.0,30,15,35.0,350.0,3246.8642316283076,104.63071938481151,104.06390173107894,3669.2121053406822
1600.0,1400.0,30,15,30.0,350.0,3289.2559709459706,102.83085580847491,102.40123413212048,3675.18363987589
1600.0,1400.0,25,15,25.0,300.0,3260.9037214974505,104.49189223305895,103.92379208803092,3677.9107318083907
1600.0,1350.0,30,15,35.0,300.0,3296.8224701378813,102.81636818051365,102.38659393727174,3682.5731420643915
1600.0,1450.0,30,15,30.0,400.0,3302.3525604384067,102.77258535469181,102.34235021952517,3687.5890766056805
1600.0,1450.0,30,15,40.0,350.0,3270.346249040237,104.50664635141855,103.93868238037203,3687.9060117402414
1600.0,1400.0,30,12,25.0,300.0,3278.763209001652,104.56622357672111,103.9988097800539,3698.590932771093
1600.0,1450.0,25,15,30.0,350.0,3287.5145074547777,104.35928431304727,103.7899615933972,3699.7120611696914
1600.0,1350.0,30,15,40.0,300.0,3321.404251961901,102.72593646482744,102.29521056174814,3706.1272555761866
1600.0,1400.0,25,15,30.0,300.0,3295.626841832972,104.31830267698996,103.74860261572816,3706.3958015449894
