date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.9368,
2026-03-02,76.6963,78.07
2026-03-03,78.4890,81.96
2026-03-04,80.3151,82.58
2026-03-05,82.1753,84.31
2026-03-06,84.0699,93.32
2026-03-07,85.9994,
2026-03-08,87.9642,
2026-03-09,89.9648,89.79
2026-03-10,92.0018,91.4
2026-03-11,94.0754,90.93
2026-03-12,95.4583,101.75
2026-03-13,96.6793,103.89
2026-03-14,97.7619,
2026-03-15,98.7265,
2026-03-16,99.5909,101.02
2026-03-17,100.3491,103.5
2026-03-18,101.0140,109.65
2026-03-19,101.5965,103.07
2026-03-20,102.1059,104.41
2026-03-21,102.5501,
2026-03-22,102.9359,
2026-03-23,103.2690,96.07
2026-03-24,103.5544,95.96
2026-03-25,103.7960,98.06
2026-03-26,103.9093,100.1
2026-03-27,103.9855,106.29
2026-03-28,104.0271,
2026-03-29,104.0586,
2026-03-30,104.0817,108.89
2026-03-31,104.0979,103.53
2026-04-01,104.1085,100.24
2026-04-02,104.1145,109.24
2026-04-03,104.1168,
2026-04-04,104.1162,
2026-04-05,104.1132,
2026-04-06,104.1084,109.7
2026-04-07,104.1022,103.42
2026-04-08,104.0950,96.7
2026-04-09,104.0870,96.41
2026-04-10,104.0784,94.26
2026-04-11,104.0696,
2026-04-12,104.0607,
2026-04-13,104.0517,98.0
2026-04-14,104.0429,95.34
2026-04-15,104.0343,94.87
2026-04-16,104.0260,98.21
2026-04-17,104.0180,92.42
2026-04-18,104.0105,
2026-04-19,104.0035,
2026-04-20,103.9969,93.8
2026-04-21,103.9909,99.06
2026-04-22,103.9855,101.55
2026-04-23,103.9806,106.01
2026-04-24,103.9763,105.88
2026-04-25,103.9727,
2026-04-26,103.9697,
2026-04-27,103.9672,101.97
2026-04-28,103.9655,104.48
2026-04-29,103.9643,112.49
2026-04-30,103.6545,110.86
2026-05-01,103.3476,109.2
2026-05-02,103.0434,
2026-05-03,102.7421,
2026-05-04,102.4436,114.06
2026-05-05,102.1478,110.31
2026-05-06,101.8547,101.96
2026-05-07,101.5643,103.37
2026-05-08,101.2766,100.25
2026-05-09,100.9915,
2026-05-10,100.7091,
2026-05-11,100.4293,104.58
2026-05-12,100.1520,107.69
2026-05-13,99.8773,105.72
2026-05-14,99.6051,106.59
2026-05-15,99.3354,109.47
2026-05-16,99.0682,
2026-05-17,98.8034,
2026-05-18,98.5411,109.69
2026-05-19,98.2811,110.92
2026-05-20,98.0235,105.16
2026-05-21,97.7683,104.92
2026-05-22,97.5154,104.25
2026-05-23,97.2648,
2026-05-24,97.0166,
2026-05-25,96.7705,93.64
2026-05-26,96.5267,96.28
2026-05-27,96.2852,92.88
2026-05-28,96.0458,92.4
2026-05-29,95.8086,91.89
