beta,tau_r,r_max,c_max,k_c,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.085,11,650.0,425.0,0.002,2390.6529755989695,104.11682271673351,103.11153463949263,96.84302036155188,4.7621179558535065,40.2429236129492,3532.7237923884195
0.085,11,650.0,425.0,0.0025,2342.2426610071407,104.24467099852018,103.4142269320422,97.34257409079062,4.762302425822895,52.697905915233605,3538.4823972888453
0.085,10,650.0,400.0,0.002,2306.1171343372466,104.60659683992985,103.79515325259452,97.81887354938212,4.805474533849852,65.51581061523717,3540.1783402191686
0.085,9,650.0,400.0,0.002,2324.962885963718,104.14967083558149,103.34700794217092,97.43525733429912,4.805474533849852,55.42668600415786,3556.1242757071745
0.085,11,650.0,425.0,0.003,2303.9909971012466,104.52019565686957,103.7114732330009,97.83037748851496,4.762486803580357,66.46972818070194,3560.262537605589
0.085,11,650.0,400.0,0.002,2311.8080726500693,105.06781038467979,104.24748196962503,98.2059237361545,4.805474533849852,76.55163564849644,3562.7353168711484
0.085,10,650.0,425.0,0.003,2322.1694107243884,104.06133920306941,103.26142588531324,97.4447769874188,4.762486803580357,56.252189951803174,3575.540473020534
0.085,9,650.0,400.0,0.0025,2286.246354703628,104.41395349636241,103.63248894242652,97.90818525102094,4.805648188688405,69.09419553856586,3578.950691890774
0.085,10,650.0,425.0,0.0025,2371.4722341349297,103.7870264536768,102.96547205542365,96.95890815563187,4.762302425822895,43.69546162392434,3580.6527764221114
0.085,10,650.0,400.0,0.0025,2278.0985274973636,104.87204203601317,104.08187550603732,98.29367571568075,4.805648188688405,80.37264884279092,3589.1758091591128
0.085,10,650.0,425.0,0.0035,2282.5750802579832,104.33091849219262,103.55205339113095,97.91919710113747,4.762671089171988,70.03298578152351,3597.116280768248
0.082,11,650.0,400.0,0.002,2319.7590128710835,103.99477881767739,103.2229628537278,97.5224000262909,4.634348629978358,58.35571138386142,3599.7482299085586
0.085,10,650.0,425.0,0.002,2431.065675914672,103.60880558081274,102.66409599022941,96.46133557203444,4.7621179558535065,32.47278334733154,3605.8824693049487
0.085,8,650.0,400.0,0.0025,2319.338250947001,103.96011582351753,103.18725119805126,97.52610931462945,4.805648188688405,58.75826111118292,3607.521643449161
0.085,11,650.0,425.0,0.0035,2275.3151511311867,104.79096585638815,104.00336987336846,98.30668659848608,4.762671089171988,81.4481584378639,3608.378689458795
0.085,8,650.0,400.0,0.002,2368.5678803189367,103.69698563418854,102.9030007005866,97.05503961974858,4.805474533849852,46.26088128875772,3610.424014453708
0.085,8,650.0,375.0,0.002,2259.102107207624,104.79765285957895,104.03666019793324,98.42089100095075,4.848840104418728,84.89274126738574,3617.2144508435563
0.082,11,650.0,400.0,0.0025,2281.2778377481654,104.25005885981467,103.49883796445465,97.9808435996865,4.6345160183722145,71.91435427763061,3623.5361353415014
0.085,9,650.0,425.0,0.0035,2314.293916237149,103.87514576569374,103.10490892394185,97.53514372094801,4.762671089171988,59.57078170509122,3624.3038483428063
0.085,9,650.0,400.0,0.003,2256.497017840481,104.67363660695855,103.91278637868804,98.36985194965759,4.805821756721196,83.87766365003823,3626.3351726580636
0.085,9,650.0,425.0,0.003,2364.619281463341,103.60674708197512,102.81553956559344,97.06259645666128,4.762486803580357,46.96823762040892,3628.820236954072
0.085,8,650.0,400.0,0.003,2279.2063235959777,104.21866658075879,103.46634052342229,97.98596199310644,4.805821756721196,72.38907497746571,3629.526833881135
0.085,11,650.0,400.0,0.0025,2294.674036478591,105.33442828347972,104.53545633729789,98.68261634174237,4.805648188688405,92.6173412043009,3638.352563455789
0.085,8,600.0,425.0,0.002,2260.2228530706557,104.66332231329886,103.91909230727158,98.44617780745205,4.7621179558535065,86.37879920629995,3651.7157003475545
0.082,10,650.0,400.0,0.0025,2317.89951766787,103.80505723534442,103.06196858977835,97.60390576454293,4.6345160183722145,61.49000196343802,3654.1140138849464
0.082,10,650.0,400.0,0.002,2366.3560497694566,103.55086874393099,102.787260050973,97.14723619169237,4.634348629978358,49.05288709082374,3654.8537796229375
0.085,9,650.0,375.0,0.002,2261.6524917978145,105.25510105178807,104.4855199681006,98.80645339271203,4.848840104418728,97.35467626971861,3655.234524414147
0.085,9,650.0,425.0,0.0025,2424.783132983156,103.33363574423454,102.52086700637533,96.57864563861938,4.762302425822895,35.60689094596118,3660.3698905698297
0.082,10,650.0,375.0,0.002,2253.1901428506576,104.6155994549714,103.88443392149459,98.47392384910611,4.6761528103238525,87.38321587194643,3660.520166991782
0.085,10,650.0,400.0,0.003,2258.9139509657384,105.13286737747009,104.36339159667632,98.75717206556425,4.805821756721196,96.32763960973678,3662.374925646052
0.082,9,650.0,375.0,0.002,2279.746881273358,104.1712031956076,103.4480630413922,98.09691647040759,4.6761528103238525,75.84445724318579,3664.9819056408414
0.082,11,650.0,400.0,0.003,2251.2404570505378,104.50087938759013,103.76968435542649,98.42831695135071,4.634683323092759,86.50319992622852,3670.2823929480974
0.082,11,650.0,425.0,0.0035,2313.2863459790824,103.72799605460811,102.98729687960949,97.61651393603744,4.593085996270885,62.39645884592893,3670.906997289242
0.082,11,650.0,425.0,0.003,2362.7198305436614,103.468692713536,102.70761346416175,97.15836936243622,4.592908359469039,49.847830035722964,3672.9858844802334
0.085,8,650.0,400.0,0.0035,2247.648201181427,104.47271757393472,103.74036180547276,98.43484938156273,4.805995237991678,87.05503319474988,3674.7287559235965
0.085,9,600.0,425.0,0.002,2252.684410427725,105.08504027980247,104.33295577300524,98.80217850549698,4.7621179558535065,97.95416137366988,3676.466385405424
0.082,10,650.0,400.0,0.003,2278.0137141442187,104.05480535833843,103.33166974209607,98.04964755874913,4.634683323092759,74.97456883895575,3676.6750627463866
0.085,8,650.0,425.0,0.0035,2370.6750893023686,103.42360107607959,102.66189125346735,97.15449096009608,4.762671089171988,50.038064900412905,3689.7729478878905
0.08,11,650.0,375.0,0.002,2260.311657340084,104.31514323053686,103.60689839388822,98.35638744151137,4.56109085561196,84.23815273917117,3690.1843956051625
0.085,8,650.0,375.0,0.0025,2239.5451785122186,105.04690651583694,104.30603314859499,98.8686470413544,4.849002939620917,100.71084360978925,3691.305191334891
0.082,11,650.0,375.0,0.002,2250.066513444646,105.06403256263985,104.32474888381644,98.8542030234383,4.6761528103238525,99.85094452179743,3693.082867054549
0.082,10,600.0,425.0,0.002,2260.542654098314,104.41607695069852,103.7022353329813,98.43854189709417,4.592552819299112,86.93817541513644,3696.2640529515324
0.085,9,650.0,400.0,0.0035,2235.1906646616044,104.92880018501079,104.18799378305434,98.82051014356665,4.805995237991678,99.67863787856362,3696.564821590996
0.082,11,650.0,425.0,0.0025,2421.4217287906167,103.20481804526031,102.42278279434215,96.68911015997081,4.592730633826614,38.44811447391916,3700.368278971939
0.082,8,650.0,375.0,0.002,2329.894992989847,103.73080117508817,103.01559484705793,97.72314810611135,4.6761528103238525,65.21258737705824,3706.278323446685
0.08,11,650.0,400.0,0.0025,2341.0497676516957,103.52403499948616,102.80385695468135,97.50443519172622,4.52048956773734,59.32997651501962,3710.7218207728256
0.08,10,650.0,375.0,0.002,2298.5729725977903,103.87845289851398,103.17789210485621,97.98435382442617,4.56109085561196,73.05573343655882,3711.28572529549
0.082,11,600.0,425.0,0.002,2245.462566769411,104.82922008503746,104.1079615680861,98.78944244300087,4.592552819299112,98.38668833865475,3711.722381667518
0.082,9,600.0,425.0,0.002,2295.6873098314295,104.00651672248476,103.30001092799725,98.09055534472485,4.592552819299112,76.28500312566071,3712.4323516057298
0.082,9,650.0,375.0,0.0025,2249.7540167043626,104.41088377727736,103.70721047224507,98.52913670089099,4.676309768391018,90.2949101579095,3713.0561482261955
0.085,9,650.0,425.0,0.002,2495.366879805348,103.107628039442,102.22079575080303,96.0830372338535,4.7621179558535065,25.596475500545058,3716.2981454424234
0.082,9,650.0,400.0,0.003,2327.959365920176,103.61274580096932,102.89757747912809,97.67423509458804,4.634683323092759,64.36027958644466,3719.581209315671
0.08,11,650.0,400.0,0.002,2392.8353191369347,103.27624833075421,102.53598566611763,97.05814597930384,4.520326351385884,47.38531170936456,3719.6522159670426
0.085,8,650.0,425.0,0.003,2431.545801242043,103.1563727991285,102.37376916879091,96.68380056107385,4.762486803580357,38.59472690019344,3719.939763602582
0.082,9,650.0,400.0,0.0025,2377.5293351796718,103.36406110892362,102.62901197407413,97.2302105081791,4.6345160183722145,51.96261556753801,3720.8086246418256
0.082,10,650.0,400.0,0.0035,2246.204370413648,104.30019106220757,103.59645472986293,98.48471015076996,4.63485054418189,89.4142044485236,3720.9254889651515
0.08,11,650.0,400.0,0.003,2297.540189925701,103.7674823290497,103.06683276712447,97.94000976093885,4.520652702501038,72.27292561180741,3724.1782162178347
0.082,8,650.0,375.0,0.0025,2290.560176393142,103.9694654340044,103.27365567150714,98.1537106926383,4.676309768391018,78.60269729857691,3731.2795937068945
0.082,10,650.0,375.0,0.0025,2232.6983627673226,104.85630493124341,104.14467713120393,98.90781556884896,4.676309768391018,102.9108790329947,3732.0516496604514
0.085,10,650.0,375.0,0.002,2289.6436289803264,105.71683444018764,104.93856281981311,99.19546199139234,4.848840104418728,110.79376566985124,3733.072121251931
0.08,11,600.0,425.0,0.002,2277.929154060256,104.08580796057491,103.39494820571903,98.29157838635989,4.479569813949191,82.87277558980774,3734.8742759704896
0.085,10,600.0,425.0,0.002,2266.901026139651,105.51056368383526,104.7505353644555,99.16125051890323,4.7621179558535065,110.36747092157589,3735.223270175968
0.085,8,600.0,425.0,0.0025,2236.455249286836,104.94548027704973,104.22407859835877,98.95390037505791,4.762302425822895,104.57159692775477,3736.192468711022
0.082,10,650.0,425.0,0.0035,2371.7037251879806,103.28517857202431,102.55254453235393,97.24094816311361,4.593085996270885,52.74859397220353,3736.354597278817
0.085,11,650.0,400.0,0.003,2286.2381632869797,105.59640583558748,104.8182017349371,99.14795813241427,4.805821756721196,109.76305638215456,3737.8079906501916
0.082,11,650.0,400.0,0.0035,2229.1524684831156,104.74731868637906,104.03559363690795,98.86506961921918,4.63485054418189,102.02974355994698,3738.374155126039
0.082,9,650.0,400.0,0.0035,2286.5904831629305,103.85708671731965,103.1612475795396,98.1076216030909,4.63485054418189,77.73007281095559,3740.3806187099153
0.082,9,650.0,400.0,0.002,2435.794511251831,103.11095502484886,102.35546022718336,96.77530022037621,4.634348629978358,40.62934171492596,3745.672862767413
0.08,10,650.0,375.0,0.0025,2264.6639080698187,104.1120615424333,103.43054878524686,98.40665401538396,4.5612439008740235,86.9129396194927,3749.280375020692
0.08,11,650.0,375.0,0.0025,2235.497235311665,104.54973543233123,103.86060731821235,98.78030016758727,4.5612439008740235,99.13370010963104,3750.7050478704264
0.082,11,650.0,425.0,0.002,2489.9411111944146,102.97408615629772,102.13271118561794,96.20848488671753,4.592552819299112,28.300634304636667,3751.4918441958393
0.085,9,650.0,375.0,0.0025,2252.287854569322,105.50544629729305,104.75605891123442,99.25597564955666,4.849002939620917,114.31599367188414,3754.3673120317953
0.085,10,650.0,400.0,0.0035,2248.0388942355657,105.38915323494676,104.6397954638198,99.2096163084431,4.805995237991678,113.28216805639067,3758.0607495785193
0.08,11,650.0,400.0,0.0035,2261.831806761741,104.00666695199497,103.32500285303198,98.36511560246248,4.520815755717722,86.12570558280025,3758.4758006194197
0.082,8,600.0,425.0,0.002,2351.0329123205242,103.60050312559368,102.90125309470132,97.74545475335103,4.592552819299112,66.40897028906708,3760.0778676149325
0.082,10,650.0,425.0,0.003,2431.146220980604,103.02698392977888,102.27404375748867,96.78457649861221,4.592908359469039,41.311362275685795,3762.8937108897867
0.082,9,600.0,425.0,0.0025,2259.368146335212,104.2777554330831,103.59332987745776,98.58049880350723,4.592730633826614,92.80951702647774,3765.272368031092
0.08,9,650.0,375.0,0.002,2359.141594939708,103.4456077018624,102.75264492210658,97.61545395607145,4.56109085561196,62.75512380046162,3767.5310120416193
0.08,10,600.0,425.0,0.002,2324.717013993245,103.68347117448303,102.99963179102583,97.94828947556401,4.479569813949191,72.61145120757539,3768.138516707509
0.078,11,650.0,375.0,0.002,2328.4690177999487,103.56394328410754,102.88608246468883,97.8516674512128,4.446079239242606,69.74507464211901,3770.307329638544
0.082,10,600.0,425.0,0.0025,2234.130445541919,104.68838627378071,103.99669913777734,98.93023433867145,4.592730633826614,104.5907705343897,3773.6119520561347
0.082,8,650.0,375.0,0.003,2258.7303547242172,104.20392565563301,103.52697125987645,98.57384933565935,4.676466647998723,92.86287851233136,3776.300185285819
0.085,8,650.0,425.0,0.0025,2502.382357586916,102.88445248338734,102.08036679466201,96.2017513707865,4.762302425822895,28.40939283193911,3777.4781808013618
0.082,9,650.0,375.0,0.003,2227.1417095107754,104.64634236374569,103.96159264024382,98.95089288689621,4.676466647998723,105.59814334897584,3780.810056506471
0.08,10,650.0,400.0,0.003,2358.0378891395994,103.33304168180186,102.64002181892378,97.56952315987695,4.520652702501038,61.98632364894711,3782.0472612163067
0.08,9,650.0,375.0,0.0025,2316.286416635341,103.67824083260969,103.00425797452337,98.03615469632464,4.5612439008740235,75.58999304252316,3783.3614286119805
0.085,8,650.0,375.0,0.003,2227.691690598119,105.29178447446505,104.57047038301724,99.30561144024193,4.849165693425883,117.4373265449434,3786.1021325892625
0.085,9,600.0,425.0,0.0025,2239.5543817414045,105.3683388793683,104.63916065902615,99.31174980473828,4.762302425822895,117.3453292366903,3787.131624804598
