date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.8499,
2026-03-02,76.5196,78.07
2026-03-03,78.2194,81.96
2026-03-04,79.9498,82.58
2026-03-05,81.7111,84.31
2026-03-06,83.5038,93.32
2026-03-07,85.3282,
2026-03-08,87.1848,
2026-03-09,89.0740,89.79
2026-03-10,90.9412,91.4
2026-03-11,92.3861,90.93
2026-03-12,93.7967,101.75
2026-03-13,95.1735,103.89
2026-03-14,96.5172,
2026-03-15,97.8285,
2026-03-16,99.1081,101.02
2026-03-17,100.3369,103.5
2026-03-18,101.5151,109.65
2026-03-19,102.6428,103.07
2026-03-20,103.7204,104.41
2026-03-21,104.7481,
2026-03-22,105.7263,
2026-03-23,106.6554,96.07
2026-03-24,107.5360,95.96
2026-03-25,108.3684,98.06
2026-03-26,109.0666,100.1
2026-03-27,109.7169,106.29
2026-03-28,110.3201,
2026-03-29,110.8990,
2026-03-30,111.4546,108.89
2026-03-31,111.9878,103.53
2026-04-01,112.4996,100.24
2026-04-02,112.9907,109.24
2026-04-03,113.4623,
2026-04-04,113.9149,
2026-04-05,114.3496,
2026-04-06,114.6889,109.7
2026-04-07,114.9575,103.42
2026-04-08,115.1735,96.7
2026-04-09,115.3506,96.41
2026-04-10,115.4992,94.26
2026-04-11,115.6266,
2026-04-12,115.7386,
2026-04-13,115.8393,98.0
2026-04-14,115.9319,95.34
2026-04-15,116.0186,94.87
2026-04-16,116.1011,98.21
2026-04-17,116.1808,92.42
2026-04-18,116.2585,
2026-04-19,116.3349,
2026-04-20,116.4106,93.8
2026-04-21,116.4859,99.06
2026-04-22,116.5611,101.55
2026-04-23,116.6364,106.01
2026-04-24,116.7120,105.88
2026-04-25,116.7879,
2026-04-26,116.8644,
2026-04-27,116.9413,101.97
2026-04-28,117.0188,104.48
2026-04-29,117.0969,112.49
2026-04-30,116.8477,110.86
2026-05-01,116.6009,109.2
2026-05-02,116.3565,
2026-05-03,116.1145,
2026-05-04,115.8748,114.06
2026-05-05,115.6374,110.31
2026-05-06,115.4024,101.96
2026-05-07,115.1696,103.37
2026-05-08,114.9391,100.25
2026-05-09,114.7109,
2026-05-10,114.4849,
2026-05-11,114.2611,104.58
2026-05-12,114.0396,107.69
2026-05-13,113.8202,105.72
2026-05-14,113.6029,106.59
2026-05-15,113.3878,109.47
2026-05-16,113.1748,
2026-05-17,112.9639,
2026-05-18,112.7551,109.69
2026-05-19,112.5483,110.92
2026-05-20,112.3436,105.16
2026-05-21,112.1409,104.92
2026-05-22,111.9401,104.25
2026-05-23,111.7414,
2026-05-24,111.5447,
2026-05-25,111.3498,93.64
2026-05-26,111.1570,96.28
2026-05-27,110.9660,92.88
2026-05-28,110.7769,92.4
2026-05-29,110.5897,91.89
