f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,loss
0.16,8,35,0.05,0.3,8738.89504300468,117.09689187930964,116.41155774472281,111.40800026737753,4.520652702501038,10880.782478795947
0.16,8,35,0.05,0.24,8975.157559608168,117.38818956350143,116.69942586062166,111.66165577148033,4.520652702501038,11220.422052155813
0.16,8,35,0.05,0.2,9205.526776024899,117.67643303663718,116.9862159047768,111.91798752754774,4.520652702501038,11558.184454198055
0.16,8,35,0.05,0.16,9540.183871032488,118.09525873505083,117.40774368131515,112.30667581401441,4.520652702501038,12060.264059449553
0.16,8,40,0.05,0.3,9892.746422002077,118.40132652021649,117.69515627402275,112.53106618689978,4.520652702501038,12520.152484710456
0.16,8,40,0.05,0.24,10066.030909109042,118.62917374621175,117.92255406318097,112.73440392588401,4.520652702501038,12787.773208193068
0.16,8,35,0.05,0.12,10070.42450119675,118.73823131446626,118.06817163956887,112.96095316897507,4.520652702501038,12881.337509871668
0.16,8,40,0.05,0.2,10233.52877684052,118.84916908281654,118.1451725612596,112.93972155146683,4.520652702501038,13051.49139880243
0.16,8,40,0.05,0.16,10474.665260170153,119.15814263331924,118.4639072215604,113.25039410294569,4.520652702501038,13438.976232991005
0.16,8,45,0.05,0.3,10737.339683510949,119.44167463480034,118.7213270302963,113.43081118096649,4.520652702501038,13802.706531000767
0.16,10,35,0.05,0.3,10976.634138031914,119.04417724699395,118.3263332916288,113.08153542388821,4.520652702501038,13867.4683845033
0.16,8,45,0.05,0.24,10858.152177863103,119.61077660536299,118.89516554730378,113.59348230509366,4.520652702501038,14004.921102188473
0.16,8,40,0.05,0.12,10851.725868764588,119.60884799186908,118.94262315037159,113.76974624181146,4.520652702501038,14060.519317577293
0.16,8,45,0.05,0.2,10974.876892922246,119.7668505006251,119.05985908968236,113.75752830019468,4.520652702501038,14202.920536592384
0.16,10,35,0.05,0.24,11282.891309853772,119.37122955974509,118.64948023782196,113.36589358225442,4.520652702501038,14315.690572397707
0.16,8,45,0.05,0.16,11142.569646080656,119.9748780856841,119.28619756568946,114.00487025205399,4.520652702501038,14491.053524259496
0.16,10,35,0.05,0.2,11581.96610968039,119.69493158693673,118.97149513759977,113.65331715937431,4.520652702501038,14761.740916006926
0.16,8,50,0.05,0.3,11319.93429579283,120.25440937112442,119.53190347263835,114.15034668701706,4.520652702501038,14764.600946913826
0.16,8,35,0.04,0.3,11625.002316768498,119.63650295392766,118.90877174216605,113.590218733655,4.520652702501038,14773.80062838022
0.16,8,50,0.05,0.24,11403.833204070781,120.36207067383003,119.65328211358349,114.28024455859146,4.520652702501038,14914.126351338062
0.16,8,45,0.05,0.12,11402.955069890178,120.25826461188414,119.60732266085252,114.41407140050896,4.520652702501038,14945.306497868927
0.16,8,50,0.05,0.2,11484.831935100912,120.45421660830964,119.76206120435366,114.410901883474,4.520652702501038,15059.01128590116
0.16,8,50,0.05,0.16,11600.753287820511,120.56814530836708,119.90299305078763,114.60664868182918,4.520652702501038,15267.216627305083
0.16,8,35,0.04,0.24,12005.08366120331,120.02603310151157,119.29363080713831,113.92873927849398,4.520652702501038,15332.74803942638
0.16,10,35,0.05,0.16,12017.096028685917,120.16541830574563,119.44493746009145,114.0892763047903,4.520652702501038,15424.933148414986
0.16,8,50,0.05,0.12,11778.830480073419,120.71030346345488,120.08895755047527,114.92540950118577,4.520652702501038,15589.198203068943
0.16,8,35,0.04,0.2,12377.72688987833,120.41175681083114,119.67732438612987,114.27106116274234,4.520652702501038,15891.30116878004
0.16,10,40,0.05,0.3,12467.959491733114,120.50925600281145,119.76775859514999,114.34094444271531,4.520652702501038,16023.077235303414
0.16,10,40,0.05,0.24,12693.824401726773,120.76534831194799,120.02329972802131,114.5691203554479,4.520652702501038,16377.140009717077
0.16,10,35,0.05,0.12,12707.56407952639,120.88801671990198,120.187035918787,114.82346253302963,4.520652702501038,16508.587014411063
0.16,8,35,0.04,0.16,12922.456487705575,120.97271324906885,120.24177907126102,114.79058028244611,4.520652702501038,16725.76935258216
0.16,10,40,0.05,0.2,12912.462255268521,121.01266101855377,120.27351660569063,114.79955948265768,4.520652702501038,16726.12421006328
0.18,8,35,0.05,0.3,13350.701261439737,120.82906315611214,120.08111024701293,114.61324989933163,4.847125499332305,17058.698474168923
0.16,10,40,0.05,0.16,13227.572479047156,121.36007569380217,120.6318448426016,115.14832321887447,4.520652702501038,17238.615505311544
0.16,12,35,0.05,0.3,13515.953248407635,120.97169480846371,120.22136057271908,114.73562993156648,4.520652702501038,17297.53079873265
0.18,8,35,0.05,0.24,13705.501703604557,121.16674522656061,120.41470898091848,114.90645072093264,4.847125499332305,17584.395322122593
0.16,8,40,0.04,0.3,13613.648079903283,121.49814654035902,120.74024722586083,115.18958223229895,4.520652702501038,17665.431062325202
0.16,10,45,0.05,0.3,13565.552974184598,121.67891183478122,120.92126373311255,115.35085494654199,4.520652702501038,17715.0416693871
