date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.8499,
2026-03-02,76.5196,78.07
2026-03-03,78.2194,81.96
2026-03-04,79.9498,82.58
2026-03-05,81.7111,84.31
2026-03-06,83.5038,93.32
2026-03-07,85.3282,
2026-03-08,87.1848,
2026-03-09,89.0740,89.79
2026-03-10,90.9962,91.4
2026-03-11,92.5514,90.93
2026-03-12,93.9340,101.75
2026-03-13,95.1685,103.89
2026-03-14,96.2764,
2026-03-15,97.2767,
2026-03-16,98.1855,101.02
2026-03-17,98.9973,103.5
2026-03-18,99.7237,109.65
2026-03-19,100.3746,103.07
2026-03-20,100.9586,104.41
2026-03-21,101.4829,
2026-03-22,101.9537,
2026-03-23,102.3760,96.07
2026-03-24,102.7543,95.96
2026-03-25,103.0924,98.06
2026-03-26,103.3109,100.1
2026-03-27,103.4949,106.29
2026-03-28,103.6466,
2026-03-29,103.7888,
2026-03-30,103.9231,108.89
2026-03-31,104.0509,103.53
2026-04-01,104.1734,100.24
2026-04-02,104.2916,109.24
2026-04-03,104.4062,
2026-04-04,104.5179,
2026-04-05,104.6274,
2026-04-06,104.7350,109.7
2026-04-07,104.8412,103.42
2026-04-08,104.9463,96.7
2026-04-09,105.0506,96.41
2026-04-10,105.1543,94.26
2026-04-11,105.2576,
2026-04-12,105.3607,
2026-04-13,105.4636,98.0
2026-04-14,105.5666,95.34
2026-04-15,105.6697,94.87
2026-04-16,105.7730,98.21
2026-04-17,105.8765,92.42
2026-04-18,105.9803,
2026-04-19,106.0844,
2026-04-20,106.1889,93.8
2026-04-21,106.2938,99.06
2026-04-22,106.3992,101.55
2026-04-23,106.5050,106.01
2026-04-24,106.6112,105.88
2026-04-25,106.7179,
2026-04-26,106.8252,
2026-04-27,106.9329,101.97
2026-04-28,107.0411,104.48
2026-04-29,107.1498,112.49
2026-04-30,106.9591,110.86
2026-05-01,106.7702,109.2
2026-05-02,106.5832,
2026-05-03,106.3982,
2026-05-04,106.2150,114.06
2026-05-05,106.0337,110.31
2026-05-06,105.8542,101.96
2026-05-07,105.6765,103.37
2026-05-08,105.5007,100.25
2026-05-09,105.3266,
2026-05-10,105.1544,
2026-05-11,104.9839,104.58
2026-05-12,104.8152,107.69
2026-05-13,104.6482,105.72
2026-05-14,104.4829,106.59
2026-05-15,104.3194,109.47
2026-05-16,104.1575,
2026-05-17,103.9974,
2026-05-18,103.8388,109.69
2026-05-19,103.6820,110.92
2026-05-20,103.5268,105.16
2026-05-21,103.3732,104.92
2026-05-22,103.2212,104.25
2026-05-23,103.0708,
2026-05-24,102.9219,
2026-05-25,102.7747,93.64
2026-05-26,102.6290,96.28
2026-05-27,102.4848,92.88
2026-05-28,102.3422,92.4
2026-05-29,102.2011,91.89
