date,sim_price,actual_close
2026-02-27,73.2100,73.21
2026-02-28,73.2100,
2026-03-01,74.8294,
2026-03-02,76.4778,78.07
2026-03-03,78.1557,81.96
2026-03-04,79.8633,82.58
2026-03-05,81.6012,84.31
2026-03-06,83.3696,93.32
2026-03-07,85.1689,
2026-03-08,86.9996,
2026-03-09,88.8621,89.79
2026-03-10,90.7567,91.4
2026-03-11,92.3074,90.93
2026-03-12,93.6884,101.75
2026-03-13,94.9238,103.89
2026-03-14,96.0349,
2026-03-15,97.0401,
2026-03-16,97.9556,101.02
2026-03-17,98.7756,103.5
2026-03-18,99.5117,109.65
2026-03-19,100.1737,103.07
2026-03-20,100.7699,104.41
2026-03-21,101.3073,
2026-03-22,101.7920,
2026-03-23,102.2292,96.07
2026-03-24,102.6230,95.96
2026-03-25,102.9772,98.06
2026-03-26,103.2135,100.1
2026-03-27,103.4158,106.29
2026-03-28,103.5862,
2026-03-29,103.7473,
2026-03-30,103.9005,108.89
2026-03-31,104.0473,103.53
2026-04-01,104.1888,100.24
2026-04-02,104.3260,109.24
2026-04-03,104.4597,
2026-04-04,104.5905,
2026-04-05,104.7191,
2026-04-06,104.8458,109.7
2026-04-07,104.9710,103.42
2026-04-08,105.0952,96.7
2026-04-09,105.2185,96.41
2026-04-10,105.3412,94.26
2026-04-11,105.4635,
2026-04-12,105.5855,
2026-04-13,105.7073,98.0
2026-04-14,105.8292,95.34
2026-04-15,105.9511,94.87
2026-04-16,106.0732,98.21
2026-04-17,106.1955,92.42
2026-04-18,106.3180,
2026-04-19,106.4409,
2026-04-20,106.5641,93.8
2026-04-21,106.6876,99.06
2026-04-22,106.8116,101.55
2026-04-23,106.9360,106.01
2026-04-24,107.0608,105.88
2026-04-25,107.1860,
2026-04-26,107.3117,
2026-04-27,107.4379,101.97
2026-04-28,107.5645,104.48
2026-04-29,107.6916,112.49
2026-04-30,107.5214,110.86
2026-05-01,107.3530,109.2
2026-05-02,107.1863,
2026-05-03,106.9702,
2026-05-04,106.7092,114.06
2026-05-05,106.4072,110.31
2026-05-06,106.0682,101.96
2026-05-07,105.6955,103.37
2026-05-08,105.2927,100.25
2026-05-09,104.8625,
2026-05-10,104.4080,
2026-05-11,103.9316,104.58
2026-05-12,103.4358,107.69
2026-05-13,102.9229,105.72
2026-05-14,102.3947,106.59
2026-05-15,101.8532,109.47
2026-05-16,101.3002,
2026-05-17,100.7371,
2026-05-18,100.1655,109.69
2026-05-19,99.5866,110.92
2026-05-20,99.0017,105.16
2026-05-21,98.4119,104.92
2026-05-22,97.8181,104.25
2026-05-23,97.2214,
2026-05-24,96.6225,
2026-05-25,96.0222,93.64
2026-05-26,95.4212,96.28
2026-05-27,94.8201,92.88
2026-05-28,94.2196,92.4
2026-05-29,93.6200,91.89
