beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.079,10,525.0,400.0,0.003,62,0.08,0.08,2369.6983183743832,107.69159288552996,107.13647409481977,96.16685430385851,4.463655896520535,10.06802428495821,2753.086853538657
0.079,10,550.0,375.0,0.003,62,0.08,0.08,2380.988597781002,107.76048842722169,107.19433084521083,96.13104640400633,4.5038808598588,9.54242879145969,2754.5019604816753
0.079,10,525.0,400.0,0.0035,62,0.08,0.08,2364.9188765507497,107.93678140751003,107.40160100733564,96.58089844221927,4.463816867475545,15.381979103146836,2754.658731917957
0.079,10,550.0,375.0,0.0035,62,0.08,0.08,2377.0757995711624,107.99048920712285,107.44300742664339,96.51902460879865,4.504031799288888,14.36934727123182,2755.178316478588
0.079,10,525.0,400.0,0.0035,62,0.08,0.1,2424.9022371737747,107.93678140751003,107.38184183619481,95.70599771266944,4.463816867475545,5.129519278568845,2760.4556312930918
0.079,12,525.0,425.0,0.0035,62,0.08,0.08,2381.6632003789196,107.64284488608199,107.06498978418372,95.97911142451251,4.423609693062169,8.036356431385702,2761.351657767908
0.08,11,525.0,425.0,0.0035,62,0.08,0.08,2394.181462640458,107.70735842868557,107.12121737847481,95.89698143746843,4.480089704331891,7.0495054911093575,2762.151597287953
0.081,10,525.0,425.0,0.0035,62,0.08,0.08,2405.455896784921,107.76500194135609,107.1706634972621,95.80935203932889,4.536581805812867,6.083153080062602,2762.984324697472
0.08,10,525.0,400.0,0.003,62,0.08,0.08,2411.7255290551557,108.1255408890677,107.55651081084163,96.38503697883058,4.520652702501038,12.22275891334635,2764.029419274776
0.079,11,525.0,400.0,0.003,62,0.08,0.08,2399.436861281481,108.05348333760249,107.49263667185956,96.46029468812593,4.463655896520535,13.429575024996705,2766.3924402453067
0.079,10,550.0,375.0,0.0035,62,0.08,0.1,2438.043287986709,107.99048920712285,107.42324245288447,95.64465708688846,4.504031799288888,4.559691181130416,2766.55319262579
0.079,11,525.0,400.0,0.0035,62,0.08,0.1,2455.7394858038556,108.29949683812178,107.73882507893036,95.99816562014905,4.463816867475545,7.581241442523957,2766.6040201523083
0.079,12,550.0,400.0,0.0035,62,0.08,0.08,2398.9011349057205,107.7308853762838,107.14019070968602,95.94550199580429,4.463816867475545,7.569665170484557,2767.305107023639
0.079,11,525.0,400.0,0.0025,62,0.08,0.08,2403.7573112606256,107.80307988517423,107.22166877661762,96.03474484770385,4.463494845059901,8.378703474344384,2767.8761381680215
0.08,10,525.0,400.0,0.0025,62,0.08,0.08,2416.053155073394,107.87204239314207,107.28222704560694,95.95501109638158,4.52048956773734,7.390045147047386,2768.0245579642065
0.08,11,550.0,400.0,0.0035,62,0.08,0.08,2410.737972518792,107.77859994044914,107.17972631535804,95.84845026587783,4.520815755717722,6.484013186385628,2769.0171561426755
0.08,10,525.0,400.0,0.0035,62,0.08,0.1,2469.9561030124237,108.37460059442766,107.80569952341732,95.91728217676146,4.520815755717722,6.628417838653157,2769.157542095506
0.08,10,550.0,375.0,0.003,62,0.08,0.08,2427.442530803367,108.1951776131198,107.61491624787709,96.34833963888609,4.561396869632572,11.630455193471148,2769.681067973609
0.081,10,550.0,400.0,0.0035,62,0.08,0.08,2421.0277295498217,107.81918490364147,107.21223277094887,95.74577347855227,4.577826981705213,5.43998470837836,2770.6779878423886
0.079,11,525.0,425.0,0.0035,62,0.08,0.08,2363.4178349319614,107.27994550357802,106.70789857751087,95.68521095574798,4.423609693062169,5.488658727998457,2772.015813030241
0.079,10,550.0,375.0,0.0025,62,0.08,0.08,2391.343629365522,107.52635046696446,106.9409799668683,95.73339870519695,4.503729844940119,5.61726107618753,2772.4984513061104
0.079,11,550.0,375.0,0.003,62,0.08,0.08,2416.5245060347947,108.13985664191974,107.56765729291237,96.43834499919426,4.5038808598588,12.987355370203172,2772.5456498369676
0.079,11,550.0,375.0,0.0025,62,0.08,0.08,2419.243454869133,107.90489330288,107.31342278113985,96.0394193992237,4.503729844940119,8.306625120554758,2772.697750440751
0.08,10,525.0,425.0,0.0035,62,0.08,0.08,2374.208848223401,107.34299254623221,106.76275817876365,95.6026820348072,4.480089704331891,4.677635689251035,2772.720870351155
0.079,10,525.0,400.0,0.0025,62,0.08,0.08,2381.781385535199,107.44202919579139,106.86640532004378,95.74260587912474,4.463494845059901,5.787169984097764,2772.730174998606
0.08,10,550.0,375.0,0.0025,62,0.08,0.08,2430.4987166447772,107.95734675294462,107.35761021316333,95.94527937573167,4.5612439008740235,7.191481031837298,2773.0059700898405
0.08,12,525.0,425.0,0.0035,62,0.08,0.08,2428.0880450607146,108.07538211111282,107.48326244547309,96.19414580049131,4.480089704331891,9.937846140491068,2773.555992097019
0.081,11,525.0,425.0,0.0035,62,0.08,0.08,2441.1545565839765,108.13440576953589,107.53399023268841,96.10683384146088,4.536581805812867,8.784637042780059,2774.4150259360254
