day,price,equilibrium_price,target_price,risk_premium,commercial_stock,bypass,extra_output,strategic_release,commercial_draw,demand_scale,nonstock_supply,effective_supply,residual_gap
90.0,96.538206,103.301289,103.301289,0.0,353.0,2.4,1.0,5.0,2.0,100.0,92.4,94.4,5.6
91.0,97.624623,103.328312,103.328312,0.0,351.016667,2.406667,1.038889,4.966667,1.983333,100.0,92.412222,94.395556,5.604444
92.0,98.541539,103.355345,103.355345,0.0,349.05,2.413333,1.077778,4.933333,1.966667,100.0,92.424444,94.391111,5.608889
93.0,99.316074,103.382385,103.382385,0.0,347.1,2.42,1.116667,4.9,1.95,100.0,92.436667,94.386667,5.613333
94.0,99.971012,103.409434,103.409434,0.0,345.166667,2.426667,1.155556,4.866667,1.933333,100.0,92.448889,94.382222,5.617778
95.0,100.525488,103.436491,103.436491,0.0,343.25,2.433333,1.194444,4.833333,1.916667,100.0,92.461111,94.377778,5.622222
96.0,100.995579,103.463556,103.463556,0.0,341.35,2.44,1.233333,4.8,1.9,100.0,92.473333,94.373333,5.626667
97.0,101.394787,103.49063,103.49063,0.0,339.466667,2.446667,1.272222,4.766667,1.883333,100.0,92.485556,94.368889,5.631111
98.0,101.734455,103.517713,103.517713,0.0,337.6,2.453333,1.311111,4.733333,1.866667,100.0,92.497778,94.364444,5.635556
99.0,102.024111,103.544803,103.544803,0.0,335.75,2.46,1.35,4.7,1.85,100.0,92.51,94.36,5.64
100.0,102.271758,103.571902,103.571902,0.0,333.916667,2.466667,1.388889,4.666667,1.833333,100.0,92.522222,94.355556,5.644444
101.0,102.484118,103.599009,103.599009,0.0,332.1,2.473333,1.427778,4.633333,1.816667,100.0,92.534444,94.351111,5.648889
102.0,102.666839,103.626125,103.626125,0.0,330.3,2.48,1.466667,4.6,1.8,100.0,92.546667,94.346667,5.653333
103.0,102.824665,103.653249,103.653249,0.0,328.516667,2.486667,1.505556,4.566667,1.783333,100.0,92.558889,94.342222,5.657778
