day,price,equilibrium_price,target_price,risk_premium,commercial_stock,bypass,extra_output,strategic_release,commercial_draw,demand_scale,nonstock_supply,effective_supply,residual_gap
90.0,94.720999,91.943744,91.943744,0.0,388.0,2.4,1.0,5.0,2.0,100.0,94.4,96.4,3.6
91.0,94.261575,91.849601,91.849601,0.0,386.016667,2.406667,1.05,4.977778,1.983333,100.0,94.434444,96.417778,3.582222
92.0,93.860615,91.755572,91.755572,0.0,384.05,2.413333,1.1,4.955556,1.966667,100.0,94.468889,96.435556,3.564444
93.0,93.508782,91.661657,91.661657,0.0,382.1,2.42,1.15,4.933333,1.95,100.0,94.503333,96.453333,3.546667
94.0,93.198233,91.567854,91.567854,0.0,380.166667,2.426667,1.2,4.911111,1.933333,100.0,94.537778,96.471111,3.528889
95.0,92.922382,91.474165,91.474165,0.0,378.25,2.433333,1.25,4.888889,1.916667,100.0,94.572222,96.488889,3.511111
96.0,92.675696,91.38059,91.38059,0.0,376.35,2.44,1.3,4.866667,1.9,100.0,94.606667,96.506667,3.493333
97.0,92.453525,91.287127,91.287127,0.0,374.466667,2.446667,1.35,4.844444,1.883333,100.0,94.641111,96.524444,3.475556
98.0,92.251965,91.193776,91.193776,0.0,372.6,2.453333,1.4,4.822222,1.866667,100.0,94.675556,96.542222,3.457778
99.0,92.067737,91.100539,91.100539,0.0,370.75,2.46,1.45,4.8,1.85,100.0,94.71,96.56,3.44
100.0,91.898085,91.007414,91.007414,0.0,368.916667,2.466667,1.5,4.777778,1.833333,100.0,94.744444,96.577778,3.422222
101.0,91.740696,90.914401,90.914401,0.0,367.1,2.473333,1.55,4.755556,1.816667,100.0,94.778889,96.595556,3.404444
102.0,91.593624,90.821501,90.821501,0.0,365.3,2.48,1.6,4.733333,1.8,100.0,94.813333,96.613333,3.386667
103.0,91.455238,90.728712,90.728712,0.0,363.516667,2.486667,1.65,4.711111,1.783333,100.0,94.847778,96.631111,3.368889
