day,price,equilibrium_price,target_price,risk_premium,commercial_stock,bypass,extra_output,strategic_release,commercial_draw,demand_scale,nonstock_supply,effective_supply,residual_gap
90.0,98.626263,116.351647,116.351647,0.0,128.0,2.4,1.0,5.0,2.0,100.0,90.4,92.4,7.6
91.0,101.498433,116.57732,116.57732,0.0,126.016667,2.406667,1.022222,4.955556,1.983333,100.0,90.384444,92.367778,7.632222
92.0,103.947245,116.80351,116.80351,0.0,124.05,2.413333,1.044444,4.911111,1.966667,100.0,90.368889,92.335556,7.664444
93.0,106.040521,117.030218,117.030218,0.0,122.1,2.42,1.066667,4.866667,1.95,100.0,90.353333,92.303333,7.696667
94.0,107.835229,117.257445,117.257445,0.0,120.166667,2.426667,1.088889,4.822222,1.933333,100.0,90.337778,92.271111,7.728889
95.0,109.379223,117.485194,117.485194,0.0,118.25,2.433333,1.111111,4.777778,1.916667,100.0,90.322222,92.238889,7.761111
96.0,110.712702,117.713464,117.713464,0.0,116.35,2.44,1.133333,4.733333,1.9,100.0,90.306667,92.206667,7.793333
97.0,111.869431,117.942258,117.942258,0.0,114.466667,2.446667,1.155556,4.688889,1.883333,100.0,90.291111,92.174444,7.825556
98.0,112.877774,118.171577,118.171577,0.0,112.6,2.453333,1.177778,4.644444,1.866667,100.0,90.275556,92.142222,7.857778
99.0,113.761558,118.401422,118.401422,0.0,110.75,2.46,1.2,4.6,1.85,100.0,90.26,92.11,7.89
100.0,114.540795,118.631795,118.631795,0.0,108.916667,2.466667,1.222222,4.555556,1.833333,100.0,90.244444,92.077778,7.922222
101.0,115.2323,118.862696,118.862696,0.0,107.1,2.473333,1.244444,4.511111,1.816667,100.0,90.228889,92.045556,7.954444
102.0,115.850192,119.094129,119.094129,0.0,105.3,2.48,1.266667,4.466667,1.8,100.0,90.213333,92.013333,7.986667
103.0,116.406336,119.326093,119.326093,0.0,103.516667,2.486667,1.288889,4.422222,1.783333,100.0,90.197778,91.981111,8.018889
104.0,116.910697,119.558591,119.558591,0.0,101.75,2.493333,1.311111,4.377778,1.766667,100.0,90.182222,91.948889,8.051111
105.0,117.371645,119.791623,119.791623,0.0,100.0,2.5,1.333333,4.333333,1.75,100.0,90.166667,91.916667,8.083333
106.0,117.796213,120.025192,120.025192,0.0,98.266667,2.506667,1.355556,4.288889,1.733333,100.0,90.151111,91.884444,8.115556
107.0,118.190306,120.259298,120.259298,0.0,96.55,2.513333,1.377778,4.244444,1.716667,100.0,90.135556,91.852222,8.147778
108.0,118.558888,120.493943,120.493943,0.0,94.85,2.52,1.4,4.2,1.7,100.0,90.12,91.82,8.18
